H (Oe)	V1(NONE) (V)	V2(1-6) (V)	V3(NONE) (V)	I(11-16) (A)	T (K)
78982.227	-0.0690966605	-0.0690966605	-3.21140325E-007	-3.21140325E-007	300.0024
78982.227	-0.0690967077	-0.0690967077	4.959232510000001E-007	4.959232510000001E-007	300.0024
78982.227	-0.06909676839999999	-0.06909676839999999	-3.21140325E-007	-3.21140325E-007	300.0024
78930.734	-0.0690975303	-0.0690975303	-4.69697339E-007	-4.69697339E-007	300.0026
78930.734	-0.0690975707	-0.0690975707	-6.9253286E-007	-6.9253286E-007	300.0026
78930.734	-0.06909707850000001	-0.06909707850000001	-2.40262974E-008	-2.40262974E-008	300.0026
78930.734	-0.0690963369	-0.0690963369	-3.95418832E-007	-3.95418832E-007	300.002
78891.602	-0.0690967145	-0.0690967145	-9.896468880000001E-007	-9.896468880000001E-007	300.0021
78891.602	-0.06909653239999999	-0.06909653239999999	1.24530717E-007	1.24530717E-007	300.0021
78891.602	-0.06909779990000001	-0.06909779990000001	-5.439758460000001E-007	-5.439758460000001E-007	300.0021
78891.602	-0.06909658640000001	-0.06909658640000001	-1.1382039E-006	-1.1382039E-006	300.0021
78851.531	-0.0690978943	-0.0690978943	-3.95418832E-007	-3.95418832E-007	300.0023
78851.531	-0.0690983528	-0.0690983528	-3.21140325E-007	-3.21140325E-007	300.0023
78851.531	-0.0690961953	-0.0690961953	4.959232510000001E-007	4.959232510000001E-007	300.0023
78851.531	-0.06909764490000001	-0.06909764490000001	1.24530717E-007	1.24530717E-007	300.0031
78812.211	-0.06909707850000001	-0.06909707850000001	1.24530717E-007	1.24530717E-007	300.0033
78812.211	-0.06909713920000001	-0.06909713920000001	5.02522096E-008	5.02522096E-008	300.0033
78812.211	-0.06909731450000001	-0.06909731450000001	-2.46861818E-007	-2.46861818E-007	300.0033
78812.211	-0.069097092	-0.069097092	1.24530717E-007	1.24530717E-007	300.0033
78772.508	-0.06909724809999999	-0.06909724809999999	-3.95418832E-007	-3.95418832E-007	300.0034
78772.508	-0.069097147	-0.069097147	-6.9253286E-007	-6.9253286E-007	300.0034
78772.508	-0.0690967087	-0.0690967087	-6.18254353E-007	-6.18254353E-007	300.002
78732.82000000001	-0.0690969582	-0.0690969582	-5.439758460000001E-007	-5.439758460000001E-007	300.0021
78732.82000000001	-0.0690964053	-0.0690964053	-6.9253286E-007	-6.9253286E-007	300.0021
78732.82000000001	-0.0690974773	-0.0690974773	5.02522096E-008	5.02522096E-008	300.0021
78732.82000000001	-0.0690972683	-0.0690972683	-1.72583311E-007	-1.72583311E-007	300.0021
78693.5	-0.06909725479999999	-0.06909725479999999	-3.95418832E-007	-3.95418832E-007	300.0023
78693.5	-0.06909655369999999	-0.06909655369999999	4.21644744E-007	4.21644744E-007	300.0023
78693.5	-0.06909709980000001	-0.06909709980000001	5.02522096E-008	5.02522096E-008	300.0023
78693.5	-0.0690970256	-0.0690970256	-3.21140325E-007	-3.21140325E-007	300.0029
78654.92200000001	-0.0690972144	-0.0690972144	-3.21140325E-007	-3.21140325E-007	300.003
78654.92200000001	-0.06909656710000001	-0.06909656710000001	-2.40262974E-008	-2.40262974E-008	300.003
78654.92200000001	-0.0690962503	-0.0690962503	-6.9253286E-007	-6.9253286E-007	300.003
78654.92200000001	-0.0690959806	-0.0690959806	4.21644744E-007	4.21644744E-007	300.003
78614.477	-0.0690970189	-0.0690970189	-1.72583311E-007	-1.72583311E-007	300.0031
78614.477	-0.06909658740000001	-0.06909658740000001	-8.41089874E-007	-8.41089874E-007	300.0031
78614.477	-0.0690974167	-0.0690974167	1.09015131E-006	1.09015131E-006	300.0031
78614.477	-0.0690966076	-0.0690966076	5.70201758E-007	5.70201758E-007	300.004
78576.656	-0.06909629069999999	-0.06909629069999999	-6.18254353E-007	-6.18254353E-007	300.0042
78576.656	-0.0690964862	-0.0690964862	-2.46861818E-007	-2.46861818E-007	300.0042
78576.656	-0.0690965132	-0.0690965132	4.959232510000001E-007	4.959232510000001E-007	300.0042
78576.656	-0.06909577829999999	-0.06909577829999999	1.98809224E-007	1.98809224E-007	300.0042
78576.656	-0.0690954884	-0.0690954884	1.0158728E-006	1.0158728E-006	300.0042
78524.414	-0.0690972144	-0.0690972144	-1.21248241E-006	-1.21248241E-006	300.0044
78524.414	-0.06909649969999999	-0.06909649969999999	-2.40262974E-008	-2.40262974E-008	300.0044
78524.414	-0.0690959873	-0.0690959873	-9.83048044E-008	-9.83048044E-008	300.0029
78524.414	-0.0690961222	-0.0690961222	-4.69697339E-007	-4.69697339E-007	300.0029
78484.719	-0.0690969514	-0.0690969514	-9.83048044E-008	-9.83048044E-008	300.0031
78484.719	-0.0690968233	-0.0690968233	-4.69697339E-007	-4.69697339E-007	300.0031
78484.719	-0.0690959266	-0.0690959266	6.44480265E-007	6.44480265E-007	300.0031
78484.719	-0.0690971739	-0.0690971739	-2.40262974E-008	-2.40262974E-008	300.0031
78445.211	-0.0690964188	-0.0690964188	1.24530717E-007	1.24530717E-007	300.0032
78445.211	-0.0690961491	-0.0690961491	-8.41089874E-007	-8.41089874E-007	300.0032
78445.211	-0.069096493	-0.069096493	-4.69697339E-007	-4.69697339E-007	300.002
78445.211	-0.0690964593	-0.0690964593	-4.69697339E-007	-4.69697339E-007	300.002
78405.70299999999	-0.0690960075	-0.0690960075	-1.1382039E-006	-1.1382039E-006	300.0021
78405.70299999999	-0.0690965132	-0.0690965132	5.02522096E-008	5.02522096E-008	300.0021
78405.70299999999	-0.06909625699999999	-0.06909625699999999	-1.06392539E-006	-1.06392539E-006	300.0021
78405.70299999999	-0.06909581200000001	-0.06909581200000001	5.02522096E-008	5.02522096E-008	300.0021
78367.125	-0.0690955154	-0.0690955154	-1.28676092E-006	-1.28676092E-006	300.0023
78367.125	-0.0690962233	-0.0690962233	-9.83048044E-008	-9.83048044E-008	300.0017
78367.125	-0.069095394	-0.069095394	-2.40262974E-008	-2.40262974E-008	300.0017
78367.125	-0.0690964369	-0.0690964369	4.21644744E-007	4.21644744E-007	300.0017
78326.67999999999	-0.0690966931	-0.0690966931	-3.95418832E-007	-3.95418832E-007	300.0019
78326.67999999999	-0.0690949334	-0.0690949334	-2.40262974E-008	-2.40262974E-008	300.0019
78326.67999999999	-0.0690968616	-0.0690968616	3.47366237E-007	3.47366237E-007	300.0019
78289.609	-0.0690956345	-0.0690956345	1.24530717E-007	1.24530717E-007	300.002
78289.609	-0.0690956548	-0.0690956548	-2.40262974E-008	-2.40262974E-008	300.002
78289.609	-0.0690970841	-0.0690970841	4.959232510000001E-007	4.959232510000001E-007	300.0008
78289.609	-0.0690956278	-0.0690956278	-7.66811367E-007	-7.66811367E-007	300.0008
78249.164	-0.0690963897	-0.0690963897	4.959232510000001E-007	4.959232510000001E-007	300.0009
78249.164	-0.06909621439999999	-0.06909621439999999	-9.83048044E-008	-9.83048044E-008	300.0009
78249.164	-0.06909700320000001	-0.06909700320000001	-9.15368381E-007	-9.15368381E-007	300.0009
78249.164	-0.069096565	-0.069096565	-7.66811367E-007	-7.66811367E-007	300.0009
78211.344	-0.0690963694	-0.0690963694	-1.72583311E-007	-1.72583311E-007	300.0011
78211.344	-0.0690959379	-0.0690959379	-2.46861818E-007	-2.46861818E-007	300.0028
78211.344	-0.0690955469	-0.0690955469	9.41594293E-007	9.41594293E-007	300.0028
78211.344	-0.069095884	-0.069095884	4.21644744E-007	4.21644744E-007	300.0028
78171.45299999999	-0.0690964234	-0.0690964234	1.98809224E-007	1.98809224E-007	300.003
78171.45299999999	-0.0690966796	-0.0690966796	-2.46861818E-007	-2.46861818E-007	300.003
78171.45299999999	-0.0690972055	-0.0690972055	3.47366237E-007	3.47366237E-007	300.003
