H (Oe)	V1(NONE) (V)	V2(1-11) (V)	V3(NONE) (V)	I(6-16) (A)	T (K)
80001.477	-0.0486082594	-0.0486082594	3.47369624E-007	3.47369624E-007	300.0026
80001.477	-0.0486075515	-0.0486075515	1.24533992E-007	1.24533992E-007	300.0026
79815.54700000001	-0.0486078414	-0.0486078414	-8.41087077E-007	-8.41087077E-007	300.0054
79909.688	-0.0486067627	-0.0486067627	-5.43972902E-007	-5.43972902E-007	300.005
79909.688	-0.04860772	-0.04860772	4.21648168E-007	4.21648168E-007	300.005
79862.625	-0.048607565	-0.048607565	-2.46858726E-007	-2.46858726E-007	300.0052
79862.625	-0.0486081178	-0.0486081178	4.21648168E-007	4.21648168E-007	300.0052
79534.227	-0.0486088325	-0.0486088325	-9.83020915E-008	-9.83020915E-008	300.0038
79534.227	-0.0486097427	-0.0486097427	-8.41087477E-007	-8.41087477E-007	300.0038
79534.227	-0.0486100461	-0.0486100461	7.18761832E-007	7.18761832E-007	300.0038
79491.727	-0.0486090011	-0.0486090011	-4.69694784E-007	-4.69694784E-007	300.0042
79491.727	-0.0486099956	-0.0486099956	7.93040371E-007	7.93040371E-007	300.0042
79451.281	-0.0486090247	-0.0486090247	-1.06392309E-006	-1.06392309E-006	300.0043
79451.281	-0.0486083774	-0.0486083774	-1.13820163E-006	-1.13820163E-006	300.0043
79451.281	-0.0486092067	-0.0486092067	3.4736914E-007	3.4736914E-007	300.0043
79410.086	-0.0486091865	-0.0486091865	6.44483294E-007	6.44483294E-007	300.0043
79410.086	-0.0486089033	-0.0486089033	1.24533524E-007	1.24533524E-007	300.0051
79410.086	-0.0486089438	-0.0486089438	1.98812063E-007	1.98812063E-007	300.0051
79410.086	-0.0486090517	-0.0486090517	-2.4023553E-008	-2.4023553E-008	300.0051
79369.45299999999	-0.0486098068	-0.0486098068	-2.46859169E-007	-2.46859169E-007	300.0052
79369.45299999999	-0.0486094764	-0.0486094764	3.4736914E-007	3.4736914E-007	300.0052
79369.45299999999	-0.0486114451	-0.0486114451	2.73090601E-007	2.73090601E-007	300.0052
79329.19500000001	-0.0486102585	-0.0486102585	4.21647678E-007	4.21647678E-007	300.0042
79329.19500000001	-0.0486087415	-0.0486087415	3.4736914E-007	3.4736914E-007	300.0042
79329.19500000001	-0.0486100428	-0.0486100428	-9.15366015E-007	-9.15366015E-007	300.0042
79329.19500000001	-0.0486100562	-0.0486100562	-2.4023553E-008	-2.4023553E-008	300.0042
79288.938	-0.0486091258	-0.0486091258	7.18761832E-007	7.18761832E-007	300.0043
79288.938	-0.048609618	-0.048609618	4.95926217E-007	4.95926217E-007	300.0043
79288.938	-0.048608546	-0.048608546	-1.73242994E-006	-1.73242994E-006	300.0043
79249.05499999999	-0.0486101034	-0.0486101034	4.21647678E-007	4.21647678E-007	300.0057
79249.05499999999	-0.0486122946	-0.0486122946	-5.43973323E-007	-5.43973323E-007	300.0057
79249.05499999999	-0.0486094495	-0.0486094495	2.73090601E-007	2.73090601E-007	300.0057
79208.04700000001	-0.0486095034	-0.0486095034	5.02549855E-008	5.02549855E-008	300.0059
79208.04700000001	-0.0486100832	-0.0486100832	-7.66808938E-007	-7.66808938E-007	300.0059
79208.04700000001	-0.0486096787	-0.0486096787	-9.83020915E-008	-9.83020915E-008	300.0059
79208.04700000001	-0.0486093753	-0.0486093753	4.95926217E-007	4.95926217E-007	300.0059
79167.227	-0.0486095169	-0.0486095169	1.98812063E-007	1.98812063E-007	300.0048
79167.227	-0.0486109192	-0.0486109192	5.02549855E-008	5.02549855E-008	300.0048
79167.227	-0.0486091663	-0.0486091663	-2.4023553E-008	-2.4023553E-008	300.0048
79167.227	-0.0486101641	-0.0486101641	-9.83020915E-008	-9.83020915E-008	300.0048
79167.227	-0.0486085932	-0.0486085932	2.73090601E-007	2.73090601E-007	300.0048
79115.17999999999	-0.0486086404	-0.0486086404	5.70204755E-007	5.70204755E-007	300.005
79115.17999999999	-0.0486090719	-0.0486090719	8.67318909E-007	8.67318909E-007	300.005
79115.17999999999	-0.0486105619	-0.0486105619	-1.7258063E-007	-1.7258063E-007	300.005
79115.17999999999	-0.048611371	-0.048611371	6.44483294E-007	6.44483294E-007	300.0086
79074.92200000001	-0.048611998	-0.048611998	-2.46859169E-007	-2.46859169E-007	300.0088
79074.92200000001	-0.0486098877	-0.0486098877	-6.182518610000001E-007	-6.182518610000001E-007	300.0088
79074.92200000001	-0.0486093146	-0.0486093146	-3.95416246E-007	-3.95416246E-007	300.0088
79074.92200000001	-0.0486103462	-0.0486103462	-1.7258063E-007	-1.7258063E-007	300.0088
79036.156	-0.0486089504	-0.0486089504	2.73090601E-007	2.73090601E-007	300.0089
79036.156	-0.0486096786	-0.0486096786	4.21647678E-007	4.21647678E-007	300.0089
79036.156	-0.0486096448	-0.0486096448	-6.925304E-007	-6.925304E-007	300.0089
79036.156	-0.0486097258	-0.0486097258	5.02549855E-008	5.02549855E-008	300.0068
78995.336	-0.0486107303	-0.0486107303	-2.46859169E-007	-2.46859169E-007	300.007
