H (Oe)	V1(NONE) (V)	V2(1-11) (V)	V3(NONE) (V)	I(6-16) (A)	T (K)
80001.586	0.0442450008	0.0442450008	-4.69834327E-007	-4.69834327E-007	300.0035
80001.023	0.044245048	0.044245048	4.21487463E-007	4.21487463E-007	300.0035
80001.023	0.0442434299	0.0442434299	-1.72727064E-007	-1.72727064E-007	300.0035
79922.406	0.0442445693	0.0442445693	-5.44111142E-007	-5.44111142E-007	300.0038
79922.406	0.0442427139	0.0442427139	-6.92664774E-007	-6.92664774E-007	300.0038
79922.406	0.0442434893	0.0442434893	-4.69834327E-007	-4.69834327E-007	300.0038
79877.969	0.0442436376	0.0442436376	1.243802E-007	1.243802E-007	300.0045
79635.898	0.0442452355	0.0442452355	2.72930056E-007	2.72930056E-007	300.0031
79635.898	0.044244777	0.044244777	-9.84538155E-008	-9.84538155E-008	300.0037
79592.648	0.0442451479	0.0442451479	-1.06405188E-006	-1.06405188E-006	300.0038
79592.648	0.0442452894	0.0442452894	-3.95560913E-007	-3.95560913E-007	300.0038
79592.648	0.0442454984	0.0442454984	1.98653282E-007	1.98653282E-007	300.0038
79592.648	0.0442443455	0.0442443455	8.6714425E-007	8.6714425E-007	300.0038
79549.20299999999	0.0442448647	0.0442448647	-1.7273059E-007	-1.7273059E-007	300.004
79549.20299999999	0.0442443253	0.0442443253	-6.9266801E-007	-6.9266801E-007	300.004
79549.20299999999	0.0442439275	0.0442439275	4.95760379E-007	4.95760379E-007	300.0037
79507.258	0.0442451411	0.0442451411	-5.44114461E-007	-5.44114461E-007	300.0038
79507.258	0.0442462064	0.0442462064	-1.7273059E-007	-1.7273059E-007	300.0038
79507.258	0.0442450939	0.0442450939	-6.18391235E-007	-6.18391235E-007	300.0038
79465.69500000001	0.0442448647	0.0442448647	6.44313927E-007	6.44313927E-007	300.004
79465.69500000001	0.0442442744	0.0442442744	-1.06405188E-006	-1.06405188E-006	300.004
79465.69500000001	0.0442455217	0.0442455217	3.4720683E-007	3.4720683E-007	300.0055
79423.75	0.0442449958	0.0442449958	-4.69837687E-007	-4.69837687E-007	300.0056
79423.75	0.0442447598	0.0442447598	-1.2868822E-006	-1.2868822E-006	300.0056
79423.75	0.0442455419	0.0442455419	-6.9266801E-007	-6.9266801E-007	300.0056
79423.75	0.0442453666	0.0442453666	1.98653282E-007	1.98653282E-007	300.0056
79423.75	0.0442463308	0.0442463308	-4.69837687E-007	-4.69837687E-007	300.0056
79368.891	0.0442475039	0.0442475039	-8.412215580000001E-007	-8.412215580000001E-007	300.0059
79368.891	0.0442454745	0.0442454745	-2.41770412E-008	-2.41770412E-008	300.007
79368.891	0.0442453936	0.0442453936	-2.41770412E-008	-2.41770412E-008	300.007
