H (Oe)	V1(NONE) (V)	V2(6-11) (V)	V3(NONE) (V)	I(1-16) (A)	T (K)
79999.352	0.0191392404	0.0191392404	-2.40077153E-008	-2.40077153E-008	300.0019
79676.531	0.019139196	0.019139196	-3.95406177E-007	-3.95406177E-007	300.0019
79632.898	0.0191400455	0.0191400455	-7.66799483E-007	-7.66799483E-007	300.002
79589.836	0.0191402343	0.0191402343	3.47380436E-007	3.47380436E-007	300.0022
79589.836	0.0191401129	0.0191401129	-4.69684838E-007	-4.69684838E-007	300.0019
79589.836	0.0191385353	0.0191385353	5.7021642E-007	5.7021642E-007	300.0019
79546.766	0.0191404433	0.0191404433	7.93052404E-007	7.93052404E-007	300.0021
79546.766	0.0191398298	0.0191398298	6.44495081E-007	6.44495081E-007	300.0021
79506.141	0.0191402613	0.0191402613	-5.439634990000001E-007	-5.439634990000001E-007	300.0022
79506.141	0.0191400455	0.0191400455	4.21659098E-007	4.21659098E-007	300.0022
79506.141	0.019139641	0.019139641	-7.66799483E-007	-7.66799483E-007	300.0013
79506.141	0.0191397826	0.0191397826	-2.40128703E-008	-2.40128703E-008	300.0013
79463.258	0.0191397758	0.0191397758	-2.40128703E-008	-2.40128703E-008	300.0015
79463.258	0.0191391556	0.0191391556	-3.21127515E-007	-3.21127515E-007	300.0015
79463.258	0.0191399309	0.0191399309	-6.92520822E-007	-6.92520822E-007	300.0015
79422.625	0.0191390881	0.0191390881	-9.829153159999999E-008	-9.829153159999999E-008	300.0016
79422.625	0.0191403152	0.0191403152	-1.21247145E-006	-1.21247145E-006	300.0016
79422.625	0.019140769	0.019140769	-1.8809794E-006	-1.8809794E-006	300.001
79422.625	0.0191397037	0.0191397037	7.93052404E-007	7.93052404E-007	300.001
79367.95299999999	0.0191400071	0.0191400071	-4.69684838E-007	-4.69684838E-007	300.0012
79367.95299999999	0.0191388475	0.0191388475	-6.92520822E-007	-6.92520822E-007	300.0012
79367.95299999999	0.0191393464	0.0191393464	-8.41078145E-007	-8.41078145E-007	300.0012
79367.95299999999	0.0191386182	0.0191386182	-2.40128703E-008	-2.40128703E-008	300.0012
79326.57000000001	0.0191393599	0.0191393599	-3.95406177E-007	-3.95406177E-007	300.0041
79326.57000000001	0.0191398992	0.0191398992	-9.829153159999999E-008	-9.829153159999999E-008	300.0041
79326.57000000001	0.0191389419	0.0191389419	-3.95406177E-007	-3.95406177E-007	300.0041
79326.57000000001	0.0191399734	0.0191399734	-3.21127515E-007	-3.21127515E-007	300.0041
79287.438	0.0191386452	0.0191386452	-3.95406177E-007	-3.95406177E-007	300.0042
79287.438	0.0191398251	0.0191398251	-9.89635467E-007	-9.89635467E-007	300.0042
79287.438	0.0191387329	0.0191387329	-9.829153159999999E-008	-9.829153159999999E-008	300.0042
79247.17999999999	0.0191387666	0.0191387666	7.93052404E-007	7.93052404E-007	300.0044
79247.17999999999	0.0191394138	0.0191394138	-3.95406177E-007	-3.95406177E-007	300.0011
79247.17999999999	0.0191386789	0.0191386789	-6.92513785E-007	-6.92513785E-007	300.0011
79247.17999999999	0.0191402633	0.0191402633	-1.72562525E-007	-1.72562525E-007	300.0011
79247.17999999999	0.0191389823	0.0191389823	4.21667488E-007	4.21667488E-007	300.0011
79208.234	0.0191392587	0.0191392587	-3.21120028E-007	-3.21120028E-007	300.0012
79208.234	0.0191386317	0.0191386317	1.98831233E-007	1.98831233E-007	300.0012
