H (Oe)	V1(NONE) (V)	V2(1-6) (V)	V3(NONE) (V)	I(11-16) (A)	T (K)
78941.031	0.06817102999999999	0.06817102999999999	-4.69837055E-007	-4.69837055E-007	300.0061
78941.031	0.0681715626	0.0681715626	-8.41220966E-007	-8.41220966E-007	300.0061
78941.031	0.06817106370000001	0.06817106370000001	-1.21260488E-006	-1.21260488E-006	300.0061
78941.031	0.0681713199	0.0681713199	-6.92667401E-007	-6.92667401E-007	300.0061
78901.336	0.0681701939	0.0681701939	3.47207548E-007	3.47207548E-007	300.0047
78901.336	0.0681704029	0.0681704029	-9.8977453E-007	-9.8977453E-007	300.0047
78901.336	0.0681705445	0.0681705445	-7.66944183E-007	-7.66944183E-007	300.0047
78901.336	0.0681702748	0.0681702748	-3.95560273E-007	-3.95560273E-007	300.0047
78862.57799999999	0.068169486	0.068169486	5.01004195E-008	5.01004195E-008	300.0049
78862.57799999999	0.06817175139999999	0.06817175139999999	-7.66944183E-007	-7.66944183E-007	300.0049
78862.57799999999	0.0681705715	0.0681705715	-7.66944183E-007	-7.66944183E-007	300.0049
78862.57799999999	0.068169749	0.068169749	-3.95560273E-007	-3.95560273E-007	300.0049
78821.758	0.0681701805	0.0681701805	-4.69837055E-007	-4.69837055E-007	300.0072
78821.758	0.06817104340000001	0.06817104340000001	3.47207548E-007	3.47207548E-007	300.0072
78821.758	0.0681711378	0.0681711378	1.24377202E-007	1.24377202E-007	300.0072
78821.758	0.0681709086	0.0681709086	-9.8977453E-007	-9.8977453E-007	300.0072
78783.188	0.0681700052	0.0681700052	5.01004195E-008	5.01004195E-008	300.0073
78783.188	0.0681701872	0.0681701872	-7.66944183E-007	-7.66944183E-007	300.0073
78783.188	0.0681701602	0.0681701602	-3.95560273E-007	-3.95560273E-007	300.0073
78783.188	0.06816979619999999	0.06816979619999999	-8.41220966E-007	-8.41220966E-007	300.0073
78744.04700000001	0.06816904779999999	0.06816904779999999	-1.72729927E-007	-1.72729927E-007	300.0062
78744.04700000001	0.0681703692	0.0681703692	-5.44113837E-007	-5.44113837E-007	300.0062
78744.04700000001	0.0681708412	0.0681708412	-2.47006709E-007	-2.47006709E-007	300.0062
78744.04700000001	0.0681692096	0.0681692096	-8.41220966E-007	-8.41220966E-007	300.0062
78705.289	0.0681701602	0.0681701602	-4.69837055E-007	-4.69837055E-007	300.0063
78705.289	0.0681690006	0.0681690006	-3.21283491E-007	-3.21283491E-007	300.0063
78705.289	0.0681710569	0.0681710569	-7.66944183E-007	-7.66944183E-007	300.0063
78705.289	0.0681697827	0.0681697827	-3.95560273E-007	-3.95560273E-007	300.0063
78665.414	0.06817034900000001	0.06817034900000001	-2.41763626E-008	-2.41763626E-008	300.0042
78665.414	0.0681685893	0.0681685893	-6.18390619E-007	-6.18390619E-007	300.0042
78665.414	0.0681692298	0.0681692298	-1.06405131E-006	-1.06405131E-006	300.0042
78625.898	0.068169513	0.068169513	-2.41763626E-008	-2.41763626E-008	300.0043
78625.898	0.0681693916	0.0681693916	-1.72729927E-007	-1.72729927E-007	300.0043
78625.898	0.068168886	0.068168886	-1.06405131E-006	-1.06405131E-006	300.0043
78625.898	0.06816979619999999	0.06816979619999999	-9.154977480000001E-007	-9.154977480000001E-007	300.0043
78625.898	0.0681688657	0.0681688657	-6.92667401E-007	-6.92667401E-007	300.0058
78625.898	0.0681690625	0.0681690625	-1.21260488E-006	-1.21260488E-006	300.0058
78573.469	0.0681687861	0.0681687861	-2.02964948E-006	-2.02964948E-006	300.006
78573.469	0.06816914340000001	0.06816914340000001	-4.69837055E-007	-4.69837055E-007	300.006
78573.469	0.0681695952	0.0681695952	-6.92667401E-007	-6.92667401E-007	300.006
78534.336	0.06816941310000001	0.06816941310000001	-3.21283491E-007	-3.21283491E-007	300.0061
78534.336	0.0681698177	0.0681698177	-8.41220966E-007	-8.41220966E-007	300.004
78495.20299999999	0.06816943340000001	0.06816943340000001	-2.41763626E-008	-2.41763626E-008	300.0042
78495.20299999999	0.0681697637	0.0681697637	-1.65826557E-006	-1.65826557E-006	300.0042
78495.20299999999	0.0681690895	0.0681690895	-4.69837055E-007	-4.69837055E-007	300.0042
78495.20299999999	0.0681693996	0.0681693996	-7.66944183E-007	-7.66944183E-007	300.0042
78455.883	0.0681687591	0.0681687591	-8.41220966E-007	-8.41220966E-007	300.0043
78455.883	0.0681693929	0.0681693929	5.01004195E-008	5.01004195E-008	300.0043
78455.883	0.0681682872	0.0681682872	-5.44113837E-007	-5.44113837E-007	300.0043
