H (Oe)	V1(NONE) (V)	V2(1-11) (V)	V3(NONE) (V)	I(6-16) (A)	T (K)
80001.17200000001	-0.0484763043	-0.0484763043	2.72994968E-007	2.72994968E-007	299.9978
80001.133	-0.0484761896	-0.0484761896	5.01625048E-008	5.01625048E-008	299.9978
80001.133	-0.0484759537	-0.0484759537	-4.69779908E-007	-4.69779908E-007	299.9978
79793.813	-0.0484748277	-0.0484748277	7.18659893E-007	7.18659893E-007	299.9985
79894.42200000001	-0.0484741063	-0.0484741063	-7.66889859E-007	-7.66889859E-007	299.997
79894.42200000001	-0.0484756772	-0.0484756772	1.9871748E-007	1.9871748E-007	299.997
79663.04700000001	-0.0484742284	-0.0484742284	7.18659893E-007	7.18659893E-007	299.9979
79663.04700000001	-0.0484776534	-0.0484776534	4.21549943E-007	4.21549943E-007	299.9979
79618.484	-0.0484751183	-0.0484751183	8.67214868E-007	8.67214868E-007	300.0004
79618.484	-0.0484748217	-0.0484748217	1.9871748E-007	1.9871748E-007	300.0004
79618.484	-0.0484752195	-0.0484752195	-9.83924704E-008	-9.83924704E-008	300.0004
79618.484	-0.0484761566	-0.0484761566	-8.41167346E-007	-8.41167346E-007	300.0004
79560.813	-0.0484758667	-0.0484758667	4.21549943E-007	4.21549943E-007	300.0006
79560.813	-0.0484752801	-0.0484752801	-9.83924704E-008	-9.83924704E-008	300.0003
79560.813	-0.0484779231	-0.0484779231	-5.440573960000001E-007	-5.440573960000001E-007	300.0003
79560.813	-0.0484771208	-0.0484771208	-2.41149828E-008	-2.41149828E-008	300.0003
79519.992	-0.0484773702	-0.0484773702	-1.72669958E-007	-1.72669958E-007	300.0005
79519.992	-0.0484772489	-0.0484772489	8.67214868E-007	8.67214868E-007	300.0005
79519.992	-0.0484779231	-0.0484779231	-1.21255478E-006	-1.21255478E-006	300.0005
79477.867	-0.0484759274	-0.0484759274	6.443824060000001E-007	6.443824060000001E-007	300.0006
79477.867	-0.0484756375	-0.0484756375	-6.18334884E-007	-6.18334884E-007	300.0006
79477.867	-0.0484757251	-0.0484757251	-1.72669958E-007	-1.72669958E-007	300.0006
79477.867	-0.0484754015	-0.0484754015	5.01625048E-008	5.01625048E-008	300.0006
