H (Oe)	V1(NONE) (V)	V2(6-11) (V)	V3(NONE) (V)	I(1-16) (A)	T (K)
80002.008	-0.0202113835	-0.0202113835	-1.21260776E-006	-1.21260776E-006	300.0043
80001.359	-0.0202128331	-0.0202128331	-4.69840346E-007	-4.69840346E-007	300.0043
79794.30499999999	-0.0202109992	-0.0202109992	2.72927069E-007	2.72927069E-007	300.0051
79794.30499999999	-0.020211869	-0.020211869	-3.95563604E-007	-3.95563604E-007	300.0026
79794.30499999999	-0.0202119634	-0.0202119634	-3.95563604E-007	-3.95563604E-007	300.0026
79894.609	-0.0202120847	-0.0202120847	-8.41224053E-007	-8.41224053E-007	300.0023
79894.609	-0.0202115251	-0.0202115251	-4.69840346E-007	-4.69840346E-007	300.0023
79894.609	-0.020211815	-0.020211815	1.24373586E-007	1.24373586E-007	300.0023
79894.609	-0.0202111678	-0.0202111678	5.00968446E-008	5.00968446E-008	300.0023
79846.344	-0.0202117274	-0.0202117274	-9.15500794E-007	-9.15500794E-007	300.0025
79846.344	-0.0202108846	-0.0202108846	-9.15500794E-007	-9.15500794E-007	300.0025
79846.344	-0.0202119701	-0.0202119701	-2.47010121E-007	-2.47010121E-007	300.0034
79846.344	-0.0202125364	-0.0202125364	-3.95563604E-007	-3.95563604E-007	300.0034
79846.344	-0.0202114981	-0.0202114981	-4.69840346E-007	-4.69840346E-007	300.0034
79846.344	-0.0202123814	-0.0202123814	-9.15500794E-007	-9.15500794E-007	300.0034
79783.82000000001	-0.0202123746	-0.0202123746	-9.84566384E-008	-9.84566384E-008	300.0036
79783.82000000001	-0.02021166	-0.02021166	1.98650327E-007	1.98650327E-007	300.0036
79783.82000000001	-0.0202116802	-0.0202116802	-4.69840346E-007	-4.69840346E-007	300.0036
79783.82000000001	-0.020212287	-0.020212287	-3.95563604E-007	-3.95563604E-007	300.0036
79783.82000000001	-0.0202116601	-0.0202116601	-3.21291944E-007	-3.21291944E-007	300.0036
79738.133	-0.02021224	-0.02021224	-6.92675346E-007	-6.92675346E-007	300.0043
79738.133	-0.0202125905	-0.0202125905	-1.28688879E-006	-1.28688879E-006	300.0043
79738.133	-0.020211532	-0.020211532	-9.84619036E-008	-9.84619036E-008	300.0043
79693.758	-0.0202120647	-0.0202120647	4.21474858E-007	4.21474858E-007	300.0045
79693.758	-0.020211087	-0.020211087	2.72921498E-007	2.72921498E-007	300.0045
79693.758	-0.0202109792	-0.0202109792	-2.47015264E-007	-2.47015264E-007	300.0045
79693.758	-0.0202120579	-0.0202120579	5.00914568E-008	5.00914568E-008	300.0045
79649.383	-0.0202119972	-0.0202119972	1.24368137E-007	1.24368137E-007	300.0034
79649.383	-0.0202122871	-0.0202122871	-1.95537891E-006	-1.95537891E-006	300.0034
79649.383	-0.0202117815	-0.0202117815	-4.69845305E-007	-4.69845305E-007	300.0034
79605.75	-0.0202119905	-0.0202119905	-6.18398665E-007	-6.18398665E-007	300.0036
79605.75	-0.0202117208	-0.0202117208	-3.21291944E-007	-3.21291944E-007	300.0036
79605.75	-0.0202107162	-0.0202107162	-9.89782066E-007	-9.89782066E-007	300.0036
79605.75	-0.0202118152	-0.0202118152	-5.44121985E-007	-5.44121985E-007	300.0036
79562.688	-0.0202110331	-0.0202110331	-1.13833543E-006	-1.13833543E-006	300.0041
79562.688	-0.0202111882	-0.0202111882	4.957515380000001E-007	4.957515380000001E-007	300.0041
