时间秒	热浴温度	高侧	低侧
1657427630.5309632	1.8	23735.836500000005	22707.8495
1657427868.8442512	2.25	22982.267999999996	22002.8555
1657428146.388389	2.8125	20608.5875	19774.2315
1657428384.7313035	3.515625	18713.8725	17986.6695
1657428623.070871	4.39453125	17189.3855	16544.304
1657428900.4733717	5.4931640625	15956.872	15375.3705
1657429178.2728884	6.866455078125	14957.455499999998	14425.578000000003
1657429495.1466544	8.58306884765625	14146.327	13653.181
1657429890.2242117	10.728836059570312	13487.005	13025.265999999998
1657430403.1226926	13.41104507446289	12950.418	12513.294500000002
1657431111.7487922	16.763806343078613	12514.6425	12097.345499999998
1657432097.0606227	20.954757928848267	12159.3525	11758.176000000001
1657433550.5661325	26.193447411060333	11871.036	11483.579500000002
1657435757.102169	32.74180926382542	11639.304500000002	11261.565
