时间秒	热浴温度	高侧	低侧
1665253060.1275089	0.7	4479.617	2807.3849999999993
1665253142.0060003	0.735	4487.896000000001	2806.086
1665253223.9137926	0.7717499999999999	4393.285	2723.072
1665253306.012517	0.8103374999999999	4305.724	2699.0490000000004
1665253388.062735	0.8508543749999999	4217.960999999999	2649.796
1665253469.9157004	0.89339709375	4135.488	2591.766
1665253552.228342	0.9380669484374999	4056.2189999999996	2532.248
1665253634.1682053	0.9849702958593749	3979.42	2474.302
1665253715.944571	1.0342188106523436	3904.759000000001	2418.866
1665253798.0261714	1.0859297511849608	3833.8210000000004	2359.5569
1665253879.771294	1.1402262387442088	3764.9790000000003	2308.2905
1665253961.4864483	1.1972375506814192	3698.563	2261.8609
1665254043.3895593	1.2570994282154901	3639.373	2221.6407999999997
1665254125.2353704	1.3199543996262646	3577.0490000000004	2179.6741999999995
1665254207.0973976	1.385952119607578	3519.041	2139.5984000000003
1665254289.1895487	1.4552497255879568	3463.1360000000004	2102.1643
1665254371.0568652	1.5280122118673547	3409.147	2066.2886000000003
1665254453.1135948	1.6044128224607224	3357.066	2031.7979
1665254535.1670058	1.6846334635837585	3304.166	1997.2305000000001
1665254617.247082	1.7688651367629464	3252.236	1962.9705999999999
1665254699.0918226	1.8573083936010937	3201.7	1929.3002999999999
1665254781.0551376	1.9501738132811484	3155.1110000000003	1896.0346
