时间秒	热浴温度	A	B	C	D
446.5996165275574	1.8	25221.398499999996	867.5763499999998	25988.4475	24893.869000000002
840.3101408481598	1.8900000000000001	24511.116	831.4758999999999	25265.327999999998	24220.1035
1233.9073479175568	1.9845000000000002	23838.487	797.6451499999998	24581.763	23580.130999999998
1627.5314452648163	2.0837250000000003	23200.365	765.8996	23932.3525	22971.9505
2021.1920635700226	2.1879112500000004	22595.015499999998	736.0744	23316.5495	22394.385
2415.0241651535034	2.2973068125000005	22020.960499999997	708.0195	22732.5125	21844.891
2808.748647928238	2.4121721531250007	21476.503500000003	681.5928	22177.515499999998	21323.2265
3202.511830329895	2.5327807607812507	20958.878500000003	656.673	21650.377999999997	20826.319
3596.305202484131	2.659419798820313	20466.8725	633.1481	21148.9025	20353.1525
3990.2853705883026	2.792390788761329	19999.215500000002	610.91	20671.5605	19903.208
4384.1925439834595	2.932010328199395	19553.7215	589.86955	20217.759000000002	19475.14
4778.095772027969	3.078610844609365	19130.08	569.93735	19785.428	19067.034
5172.236104726791	3.2325413868398334	18726.8795	551.0353	19374.1805	18677.153000000002
5566.463658332825	3.3941684561818253	18342.857999999997	533.09315	18981.771	18305.5575
5960.653875827789	3.5638768789909165	17976.6735	516.04175	18608.000500000002	17951.670499999997
6354.928993701935	3.742070722940462	17627.6865	499.82485	18251.347	17613.556
6749.3615629673	3.9291742590874854	17294.9525	484.3871	17911.197999999997	17290.875
7143.780352115631	4.12563297204186	16977.519500000002	469.67554999999993	17587.102000000003	16983.0025
7538.428874969482	4.3319146206439525	16674.963	455.64185	17277.2005	16688.3425
7933.26438999176	4.54851035167615	16386.084	442.24600000000004	16981.9325	16407.717999999997
8328.077009439468	4.775935869259957	16110.505	429.4498999999999	16699.726000000002	16139.8015
8723.011484146118	5.014732662722955	15847.435	417.21145	16430.445499999998	15883.5985
9170.158556938171	5.265469295859103	15596.410499999998	405.5021	16173.242000000002	15638.746500000001
9617.614552497864	5.528742760652058	15356.5965	394.28634999999997	15927.985499999999	15404.8875
10064.790573358536	5.805179898684661	15127.574499999999	383.538	15693.01	15181.4455
10512.349310159683	6.095438893618894	14908.893999999998	373.22869999999995	15469.0705	14967.937500000002
10959.997261047363	6.400210838299839	14700.038	363.3329	15254.728000000001	14763.8955
11407.31091952324	6.720221380214831	14500.3265	353.82529999999997	15050.290500000001	14568.749000000002
11854.99564242363	7.056232449225572	14309.757	344.68645	14854.9425	14381.9325
12302.617832422256	7.409044071686851	14127.802999999998	335.8967999999999	14668.135499999999	14204.0495
12750.153898000717	7.779496275271193	13953.626499999998	327.4307999999999	14489.628999999999	14033.701
13198.919022798538	8.168471089034753	13787.424500000001	319.2738499999999	14319.093	13870.7175
13699.01239991188	8.57689464348649	13628.463	311.40925	14156.052	13715.000999999998
14199.791813373566	9.005739375660815	13476.6665	303.81610000000006	14000.188499999998	13566.266000000001
14699.867885828018	9.456026344443856	13331.49	296.48355000000004	13851.050500000001	13423.97
15200.883617401123	9.928827661666048	13192.812999999998	289.39424999999994	13709.0195	13288.186999999998
15754.504526853561	10.425269044749351	13060.271	282.5342	13572.805499999999	13158.001500000002
16307.964011192322	10.94653249698682	12933.4975	275.88965	13442.8425	13033.521999999999
16914.365171909332	11.49385912183616	12812.360499999999	269.44784999999996	13318.514500000001	12914.600499999999
17520.83434700966	12.068552077927967	12696.581	263.19669999999996	13199.5475	12800.896999999999
18127.97497677803	12.671979681824364	12585.618	257.12235000000004	13085.761999999999	12692.0705
18734.94974088669	13.305578665915583	12479.912999999999	251.21839999999997	12977.2275	12588.181
19394.675243377686	13.970857599211362	12378.719	245.4718	12873.193000000001	12488.631
20055.56362748146	14.66940047917193	12282.52	239.871465	12774.656	12394.191999999997
20771.00181055069	15.402870503130526	12189.982000000002	234.40963	12679.4815	12303.014
21535.753734111786	16.173014028287053	12101.407	229.077555	12588.546500000002	12216.073
22306.15106034279	16.981664729701407	12016.878	223.86659	12501.7275	12132.9875
23129.989567518234	17.83074796618648	11935.914500000003	218.76932499999998	12418.713	12053.4825
24010.975851535797	18.722285364495804	11858.681	213.77836499999998	12339.290500000003	11977.4135
24944.015230178833	19.658399632720595	11784.6905	208.88770499999998	12263.2155	11904.922999999999
25929.02627325058	20.641319614356625	11714.1085	204.08987000000002	12190.968	11835.4715
27020.030004262924	21.673385595074457	11646.818500000001	199.383385	12121.716499999999	11769.126499999998
28163.951618909836	22.757054874828178	11582.198	194.758105	12055.461	11705.786499999998
29411.98656487465	23.894907618569587	11520.695	190.215265	11992.3075	11645.3205
30713.050337791443	25.089652999498067	11461.902999999998	185.744485	11932.184	11587.449499999999
32119.123550891876	26.34413564947297	11405.885499999999	181.349855	11874.675	11532.471500000001
33631.13549685478	27.66134243194662	11352.419	177.026425	11819.9005	11479.985
35248.18544340134	29.04440955354395	11301.550500000001	172.77095	11767.628999999999	11429.8915
36970.14207339287	30.496630031221148	11253.133500000002	168.58315000000002	11717.896499999999	11382.383
38849.092480659485	32.021461532782205	11206.8685	164.46353000000002	11670.6185	11337.0455
40886.123098134995	33.622534609421315	11162.915499999997	160.388955	11625.551000000001	11293.8145
43186.16354179382	35.30366133989238	11122.4475	156.41458	11584.2085	11254.274500000001
45645.02281284332	37.068844406886996	11082.933	152.48854	11543.5125	11215.516000000001
48316.21486663818	38.922286627231344	11045.3515	148.627755	11505.247999999998	11178.635
