时间	热浴温度/K	样品电阻/Ω	参考电阻/Ω	磁场电压
1857.8177254199982	nan	2442.14	3994.4	4.31005528e-05
1858.5499415397644	nan	2442.12	3994.5	4.4560143e-05
1859.2826137542725	nan	2442.15	3994.5	4.3538428e-05
1860.0339341163635	nan	2442.18	3994.5	4.41101019e-05
1860.8169419765472	nan	2442.15	3994.4	4.43898572e-05
1861.551782131195	nan	2442.15	3994.2	4.39154895e-05
1862.285029888153	nan	2442.14	3994.4	4.39884763e-05
1863.030220746994	nan	2442.16	3994.2	4.35749249e-05
1863.8174846172333	nan	2442.14	3994.3	4.41465988e-05
1864.5510098934174	nan	2442.17	3994.4	4.42074152e-05
1865.2838621139526	nan	2442.15	3994.4	4.37817006e-05
1866.0273752212524	nan	2442.21	3994.3	4.3915483e-05
1866.8170008659363	nan	2442.16	3994.5	4.39398095e-05
1867.553223848343	nan	2442.18	3994.3	4.4183075e-05
1868.2867424488068	nan	2442.17	3994.4	4.62629945e-05
1869.0359654426575	nan	2442.18	3994.3	4.34776052e-05
1869.8192253112793	nan	2442.19	3994.3	4.28937692e-05
1870.5532863140106	nan	2442.18	3994.3	4.39276473e-05
1871.2867622375488	nan	2442.18	3994.4	4.40979331e-05
1872.0312433242798	nan	2442.12	3994.5	4.4535811e-05
1872.8285632133484	nan	2442.16	3994.5	4.45966251e-05
1873.5614857673645	nan	2442.19	3994.4	4.30640529e-05
1874.3118093013763	nan	2442.13	3994.3	4.40857677e-05
1875.0488262176514	nan	2442.14	3994.3	4.50953193e-05
1875.8183979988098	nan	2442.16	3994.4	4.44749924e-05
1876.5515727996826	nan	2442.16	3994.4	4.35992294e-05
1877.2848410606384	nan	2442.18	3994.2	4.58859241e-05
1878.0290341377258	nan	2442.18	3994.4	4.46939237e-05
1878.8200092315674	nan	2442.16	3994.4	4.59102507e-05
1879.558210849762	nan	2442.17	3994.4	4.34532702e-05
1880.2907280921936	nan	2442.15	3994.4	4.48642222e-05
1881.0351073741913	nan	2442.17	3994.6	4.27721391e-05
1881.8192467689514	nan	2442.21	3994.7	4.67495295e-05
1882.6289529800415	nan	2442.18	3994.8	4.38546705e-05
1883.3633511066437	nan	2442.2	3994.5	4.46331248e-05
1884.11164021492	nan	2442.18	3994.3	4.42195735e-05
1884.845511674881	nan	2442.2	3994.3	4.64332894e-05
1885.5791821479797	nan	2442.19	3994.5	4.37330425e-05
1886.3202166557312	nan	2442.2	3994.3	4.65670855e-05
1887.0610857009888	nan	2442.18	3994.0	4.28816121e-05
1887.820360660553	nan	2442.21	3994.3	4.47061032e-05
1888.5535161495209	nan	2442.2	3994.3	4.58616143e-05
1889.2879030704498	nan	2442.18	3994.1	4.52777771e-05
1890.0305240154266	nan	2442.19	3994.4	4.47790829e-05
1890.8194856643677	nan	2442.17	3994.6	4.33681632e-05
1891.5525517463684	nan	2442.19	3994.6	4.45115115e-05
1892.2860960960388	nan	2442.16	3994.3	4.45480014e-05
1893.030433177948	nan	2442.19	3994.3	4.45601647e-05
1893.8206729888916	nan	2442.21	3994.3	4.37208983e-05
1894.5546832084656	nan	2442.22	3994.4	4.30032625e-05
1895.2871491909027	nan	2442.2	3994.5	4.32586913e-05
1896.0487370491028	nan	2442.24	3994.6	4.49128973e-05
1896.8222045898438	nan	2442.22	3994.7	4.48034278e-05
1897.5644176006317	nan	2442.2	3994.4	4.39763248e-05
1898.3153002262115	nan	2442.19	3994.4	4.18842332e-05
1899.0484380722046	nan	2442.21	3994.4	4.64697887e-05
1899.8217723369598	nan	2442.25	3994.6	4.40492966e-05
1900.5551390647888	nan	2442.24	3994.7	4.36600717e-05
1901.2883553504944	nan	2442.21	3994.4	4.39276647e-05
1902.0285036563873	nan	2442.19	3994.4	4.48885636e-05
1902.8205268383026	nan	2442.19	3994.4	4.4073624e-05
1903.5531959533691	nan	2442.2	3994.4	4.30154189e-05
1904.2866823673248	nan	2442.2	3994.4	4.45601551e-05
1905.0342164039612	nan	2442.22	3994.5	4.32100207e-05
1905.8187630176544	nan	2442.2	3994.5	4.32586738e-05
1906.5517871379852	nan	2442.13	3994.4	4.35141026e-05
1907.2873179912567	nan	2442.17	3994.3	4.3842511e-05
