时间秒	热浴温度K	κ	变异系数	时间常数平均
2753	1.8	0.0010252645921048833	0.08841308700390861	2.0
3208	1.8900000000000001	0.0011307011670210977	0.09654542057749518	2.0
3665	1.9845000000000002	0.001133269854253891	0.023323081321118794	2.0
4120	2.0837250000000003	0.0013846199367037262	0.01647885401011266	2.0
4577	2.1879112500000004	0.0013664364159626772	0.041042943089743905	2.0
5033	2.2973068125000005	0.0017306552319655373	0.09892594732351408	2.0
5490	2.4121721531250007	0.0017613116138203097	0.02004370541656352	2.0
5946	2.5327807607812507	0.0022556681975333744	0.03873971192123606	2.0
6402	2.659419798820313	0.0026732508736276492	0.09937625629270075	2.0
6859	2.792390788761329	0.0029042752616298757	0.018065815027064006	2.0
7315	2.932010328199395	0.003328062984856328	0.05171934405113427	2.0
7772	3.078610844609365	0.0037322662928047944	0.0639977306712442	2.0
8228	3.2325413868398334	0.004071691238483708	0.07689611773967045	2.0
8685	3.3941684561818253	0.004070717732573497	0.017672547015212654	2.0
9141	3.5638768789909165	0.004454185960310904	0.09562000815548463	2.0
9598	3.742070722940462	0.005585874362587913	0.044646641303361025	2.0
10054	3.9291742590874854	0.005527732907818664	0.019866601710057902	2.0
10511	4.12563297204186	0.006131082915227004	0.022608340901793537	2.0
10967	4.3319146206439525	0.007157340538211088	0.0227012163161545	2.0
11424	4.54851035167615	0.0068992546949745584	0.020877458575375166	2.0
11881	4.775935869259957	0.007922624378936928	0.024334852644801362	2.0
12338	5.014732662722955	0.009392402682758138	0.08154524936847382	2.0
12846	5.265469295859103	0.009429877025436803	0.05583961501343926	2.0
13355	5.528742760652058	0.00952136804418661	0.04302302174881722	2.0
13864	5.805179898684661	0.009578709094624565	0.02640495664080942	2.0
14372	6.095438893618894	0.01017816358464395	0.04973501510358056	2.0
14881	6.400210838299839	0.009627167058155991	0.07865653828911569	2.0
15390	6.720221380214831	0.010060707108492242	0.10243013721819476	2.0
15899	7.056232449225572	0.009992974060114809	0.03566171793838913	2.0
16408	7.409044071686851	0.009251051733754019	0.048773422155142444	2.0
16917	7.779496275271193	0.009573867780926242	0.030980492616412544	2.0
17477	8.168471089034753	0.009882704254619479	0.028528366816432366	2.0
18038	8.57689464348649	0.009844728768106725	0.013212586043242639	2.0
18599	9.005739375660815	0.010365262522532077	0.045569440778950525	2.0
19160	9.456026344443856	0.008795672965860415	0.024894918249446982	2.0
19773	9.928827661666048	0.009409086551876542	0.04912224824116551	2.0
20386	10.425269044749351	0.009372990908289748	0.06045939745055435	2.0
20999	10.94653249698682	0.009433918552318147	0.05694132774091174	2.0
21612	11.49385912183616	0.00845092357577801	0.062474998672587774	2.0
22277	12.068552077927967	0.008325125393315752	0.0813174384276267	2.0
22942	12.671979681824364	0.007653643836984474	0.037986762668465165	2.0
23660	13.305578665915583	0.0077306396733235055	0.05912917844836543	2.0
24377	13.970857599211362	0.0073351454232057425	0.07447988924723703	2.0
25094	14.66940047917193	0.007006783822780347	0.03936737817083149	2.0
25863	15.402870503130526	0.00639857652797982	0.024236415222189917	2.0
26685	16.173014028287053	0.0067172917684265145	0.051640127810870254	2.0
27558	16.981664729701407	0.005998346606554811	0.041444596747797574	2.0
28432	17.83074796618648	0.005836574237861363	0.04645447440747306	2.0
29358	18.722285364495804	0.00576378585340715	0.028196527282412148	2.0
30335	19.658399632720595	0.005255830596837166	0.09660077163096793	2.0
31365	20.641319614356625	0.004976400360212844	0.048112774535022	2.0
32500	21.673385595074457	0.0044773806502444976	0.009974348342692578	2.0
34207	22.757054874828178	0.004342862371386855	0.06299347928122993	2.0
35550	23.894907618569587	0.003973409385657676	0.05790204284441263	2.0
36997	25.089652999498067	0.0038505803778171636	0.02675468769728853	2.0
38549	26.34413564947297	0.0035840334648718866	0.08012161972537142	2.0
40205	27.66134243194662	0.0034133757760821336	0.08673081829005906	2.0
41965	29.04440955354395	0.003320985792651937	0.06793104398083127	2.0
