时间秒	热浴温度	高侧	低侧
时间秒	热浴温度	高侧	低侧
1650010569.522608	11	12875.543	13402.874999999998
时间秒	热浴温度	高侧	低侧
1650011076.1771603	10.725	12939.993	13469.078000000001
时间秒	热浴温度	高侧	低侧
1650011421.1819646	10.456875	13006.531	13537.659
时间秒	热浴温度	高侧	低侧
1650012392.6477125	10.195453125	13074.094000000001	13606.889000000001
时间秒	热浴温度	高侧	低侧
1650012717.4935	9.940566796875	13143.743000000002	13678.403
时间秒	热浴温度	高侧	低侧
1650013021.9316173	9.692052626953124	13214.454000000002	13750.922000000002
时间秒	热浴温度	高侧	低侧
1650013447.4800224	9.449751311279297	13288.087999999998	13826.528999999997
时间秒	热浴温度	高侧	低侧
1650013933.9075787	9.213507528497313	13361.672000000002	13902.229
时间秒	热浴温度	高侧	低侧
1650014177.8499224	8.98316984028488	13437.694000000001	13980.892
时间秒	热浴温度	高侧	低侧
1650014583.2653146	8.758590594277758	13515.817999999997	14060.971000000001
时间秒	热浴温度	高侧	低侧
1650015049.502067	8.539625829420814	13595.703000000001	14142.337
时间秒	热浴温度	高侧	低侧
1650015273.2170556	8.326135183685293	13677.975999999999	14226.482999999998
时间秒	热浴温度	高侧	低侧
1650015496.9299808	8.11798180409316	13761.495	14312.998
时间秒	热浴温度	高侧	低侧
1650015720.6395257	7.9150322589908315	13847.007	14400.717000000002
时间秒	热浴温度	高侧	低侧
1650015964.5493255	7.71715645251606	13935.278000000002	14491.189000000002
时间秒	热浴温度	高侧	低侧
1650016188.2003415	7.5242275412031585	14024.754000000004	14583.240999999998
时间秒	热浴温度	高侧	低侧
1650016452.3123507	7.336121852673079	14117.13	14677.933
时间秒	热浴温度	高侧	低侧
1650016676.1514826	7.152718806356252	14211.156999999997	14774.35
时间秒	热浴温度	高侧	低侧
1650016859.3690038	6.973900836197346	14307.758	14873.755
时间秒	热浴温度	高侧	低侧
1650017042.6437879	6.799553315292412	14408.558	14977.262000000002
时间秒	热浴温度	高侧	低侧
1650017225.8822207	6.629564482410101	14508.127000000002	15079.202
时间秒	热浴温度	高侧	低侧
1650017510.2597036	6.4638253703498485	14611.42	15185.358999999999
时间秒	热浴温度	高侧	低侧
1650017693.78766	6.302229736091102	14717.985999999999	15294.442
时间秒	热浴温度	高侧	低侧
1650017897.2199712	6.1446739926888245	14826.090999999999	15405.476
时间秒	热浴温度	高侧	低侧
1650018080.5875463	5.991057142871604	14937.950000000003	15520.376999999997
时间秒	热浴温度	高侧	低侧
1650018385.1287959	5.841280714299814	15051.902	15637.201999999997
时间秒	热浴温度	高侧	低侧
1650018568.807581	5.695248696442319	15168.760000000002	15757.007000000001
时间秒	热浴温度	高侧	低侧
1650018731.8831232	5.552867479031261	15288.54	15880.142
时间秒	热浴温度	高侧	低侧
1650018895.1456764	5.41404579205548	15410.206999999997	16005.155
时间秒	热浴温度	高侧	低侧
1650019038.0784307	5.278694647254093	15536.096000000003	16134.128
时间秒	热浴温度	高侧	低侧
1650019181.0053365	5.1467272810727405	15664.582999999999	16265.802999999998
时间秒	热浴温度	高侧	低侧
1650019323.8576288	5.018059099045922	15796.438	16401.187
时间秒	热浴温度	高侧	低侧
1650019466.8513844	4.892607621569773	15931.321999999995	16539.263
时间秒	热浴温度	高侧	低侧
1650019630.1464758	4.770292431030529	16068.75	16680.656000000003
时间秒	热浴温度	高侧	低侧
1650019773.0816753	4.6510351202547655	16210.613000000001	16826.197
时间秒	热浴温度	高侧	低侧
1650019916.0100741	4.534759242248397	16355.465	16974.44
时间秒	热浴温度	高侧	低侧
1650020059.129639	4.421390261192187	16503.851000000002	17126.817000000003
时间秒	热浴温度	高侧	低侧
1650020202.0839462	4.310855504662382	16655.451	17282.435
时间秒	热浴温度	高侧	低侧
1650020345.0338542	4.203084117045822	16812.047000000002	17442.791
时间秒	热浴温度	高侧	低侧
1650020487.9471524	4.098007014119677	16972.163999999997	17606.81
时间秒	热浴温度	高侧	低侧
1650020630.9251916	3.995556838766685	17134.625	17773.775
时间秒	热浴温度	高侧	低侧
1650020773.8226743	3.895667917797518	17302.053999999996	17945.662
时间秒	热浴温度	高侧	低侧
1650020917.1529398	3.79827621985258	17474.562000000005	18122.091
时间秒	热浴温度	高侧	低侧
1650021060.1016438	3.7033193143562655	17650.584	18302.651
时间秒	热浴温度	高侧	低侧
1650021186.982805	3.610736331497359	17830.337	18487.385
时间秒	热浴温度	高侧	低侧
1650021329.9225812	3.520467923209925	18015.346999999998	18676.756999999998
时间秒	热浴温度	高侧	低侧
1650021472.8291821	3.432456225129677	18204.46	18870.51
时间秒	热浴温度	高侧	低侧
1650021595.5822964	3.346644819501435	18398.624	19069.357999999997
时间秒	热浴温度	高侧	低侧
1650021738.5134044	3.262978699013899	18599.503000000004	19274.850000000002
时间秒	热浴温度	高侧	低侧
1650021861.2884734	3.1814042315385516	18801.433	19482.291
时间秒	热浴温度	高侧	低侧
1650021984.0795052	3.101869125750088	19012.145999999997	19698.061999999998
时间秒	热浴温度	高侧	低侧
1650022127.0530467	3.0243223976063356	19226.496	19917.489
时间秒	热浴温度	高侧	低侧
1650022270.1881502	2.948714337666177	19447.255	20143.836999999996
时间秒	热浴温度	高侧	低侧
1650022392.993523	2.8749964792245226	19673.048	20375.329
时间秒	热浴温度	高侧	低侧
1650022515.731043	2.8031215672439096	19905.053	20613.606999999996
