时间秒	热浴温度	高侧	低侧
1651469335.3243046	30	11257.2145	11738.476999999999
1651471362.891575	28.5	11309.3145	11792.0205
1651473181.843017	27.075	11364.517999999998	11849.0425
1651474842.697092	25.721249999999998	11422.825	11908.7355
1651476347.734275	24.435187499999998	11484.14	11971.377500000002
1651477748.4889631	23.213428124999997	11548.164500000003	12037.642999999998
1651479044.6581469	22.052756718749997	11615.7685	12107.0065
1651480236.7088714	20.950118882812497	11686.691	12179.905
1651481324.737454	19.902612938671872	11760.924499999997	12256.3365
1651482308.5144842	18.90748229173828	11838.402	12336.031
1651483240.010362	17.962108177151364	11920.604500000001	12420.620500000003
1651484067.3484898	17.064002768293797	12006.465	12509.068000000001
1651484842.2396123	16.210802629879108	12096.307000000003	12601.4405
1651485564.807506	15.400262498385153	12190.488000000001	12698.4195
1651486235.3276687	14.630249373465896	12289.594500000001	12800.171499999999
1651486853.5457463	13.898736904792601	12392.965	12906.8135
1651487471.954303	13.203800059552972	12501.469499999997	13018.248
1651488038.319393	12.543610056575323	12615.2225	13135.234000000002
1651488604.6663072	11.916429553746557	12734.961	13258.302000000001
1651489171.4502032	11.32060807605923	12837.794000000002	13363.9925
1651489685.5315897	10.754577672256268	12968.517	13498.561000000002
1651490147.9480813	10.216848788643455	13106.264500000001	13640.289
1651490610.6042798	9.706006349211282	13250.332999999999	13788.569000000001
1651491020.3173997	9.22070603175072	13401.943500000001	13944.4375
1651491430.6849465	8.759670730163183	13561.699499999999	14108.529499999999
1651491840.836363	8.321687193655023	13728.8625	14280.461
1651492251.0064545	7.905602833972273	13906.2295	14462.817000000003
1651492608.8618875	7.510322692273659	14090.1395	14651.895499999999
1651492967.1185713	7.134806557659976	14284.906	14851.616499999998
1651493325.213705	6.778066229776977	14490.000499999998	15062.546999999999
1651493684.1314769	6.439162918288128	14705.346500000001	15283.846000000001
1651494043.0438735	6.1172047723737215	14932.567000000003	15517.133
1651494349.0277567	5.811344533755036	15171.931	15762.7545
1651494655.0555506	5.520777307067284	15423.812000000002	16021.969
1651494961.6877766	5.2447384417139205	15689.913999999999	16295.125999999998
1651495267.6982093	4.982501519628224	15970.996000000001	16583.712
1651495573.9262643	4.733376443646813	16267.015	16887.875500000002
1651495880.308097	4.496707621464473	16579.4005	17208.443
1651496187.8750844	4.271872240391249	16910.3045	17548.1375
1651496495.9170318	4.058278628371687	17259.6965	17906.74
1651496803.0494215	3.8553646969531026	17629.9225	18286.208
1651497110.9945054	3.6625964621054474	18021.4015	18688.015499999998
1651497418.3051474	3.479466639000175	18436.119	19113.3965
1651497725.4764209	3.305493307050166	18876.0395	19564.9885
1651498033.4974554	3.1402186416976576	19343.599	20044.3285
1651498341.471621	2.983207709612775	19840.2575	20552.8845
1651498648.7399607	2.8340473241321362	20367.8185	21094.398999999998
1651499010.0413535	2.6923449579255294	20927.409499999998	21667.392999999996
1651499371.3357394	2.557727710029253	21113.79	21858.483499999995
1651499574.651662	2.4298413245277906	21100.0335	21844.850499999997
1651499778.4401178	2.308349258301401	21087.644000000004	21831.6485
1651499982.4494941	2.1929317953863308	21077.2095	21821.295
1651500186.6784759	2.083285205617014	21066.0	21809.492000000002
