时间秒	热浴温度K	κ	变异系数	时间常数平均
4033	1.8	1.5472847007471514e-06	0.0834528762900336	2.0
4540	1.8900000000000001	1.4520077168179978e-06	0.0035397652410224267	2.0
5075	1.9845000000000002	1.557242432219031e-06	0.00126239815809654	2.0
5637	2.0837250000000003	1.6964076108270377e-06	0.004118188230887289	2.0
6185	2.1879112500000004	1.8425889600415016e-06	0.0022732683667740384	2.0
6734	2.2973068125000005	1.997986076739633e-06	0.0013284896191154798	2.0
7282	2.4121721531250007	2.166662655578991e-06	0.0016699232798494214	2.0
7844	2.5327807607812507	2.345972610974521e-06	0.0011257723870611196	2.0
8379	2.659419798820313	2.5298790124278594e-06	0.0025215104251649994	2.0
8914	2.792390788761329	2.718631655305396e-06	0.013491258885151288	2.0
9462	2.932010328199395	2.950101189510791e-06	0.001845081580310374	2.0
10011	3.078610844609365	3.1761419456834992e-06	0.0038857934888897323	2.0
10560	3.2325413868398334	3.4091691633352437e-06	0.0007300703916591064	2.0
11122	3.3941684561818253	3.6616498824349295e-06	0.002346093234108839	2.0
11686	3.5638768789909165	3.918070039534834e-06	0.0026032507840101486	2.0
12249	3.742070722940462	4.205989394719465e-06	0.001304989096219662	2.0
12812	3.9291742590874854	4.479497477375273e-06	0.00212853968030894	2.0
13376	4.12563297204186	4.789637077133344e-06	0.004276441070775965	2.0
13939	4.3319146206439525	5.0921413732389725e-06	0.004412013285034774	2.0
14502	4.54851035167615	5.442957870789274e-06	0.0030719321087591006	2.0
15066	4.775935869259957	5.789728094622603e-06	0.001279968089732293	2.0
