时间秒	热浴温度K	κ	变异系数	时间常数平均
883	1.8	1.546048030608322e-06	0.00626584929011075	2.0
1506	1.8900000000000001	1.543575697354895e-06	0.002278317248349548	2.0
2233	1.9845000000000002	1.578238265036195e-06	0.002257894036180651	2.0
2959	2.0837250000000003	1.7278481068653664e-06	0.0014315998103140942	2.0
3634	2.1879112500000004	1.8881905262268383e-06	0.003391464763713577	2.0
4309	2.2973068125000005	2.0618562248108296e-06	0.0016655265031453531	2.0
4983	2.4121721531250007	2.2335226007454467e-06	0.0033794088408515806	2.0
5710	2.5327807607812507	2.431400164014593e-06	0.0036730145258139267	2.0
6594	2.659419798820313	2.6242487461367092e-06	0.00215342121389976	2.0
7268	2.792390788761329	2.8370117383329552e-06	0.0011714216317440641	2.0
7943	2.932010328199395	3.052556231277898e-06	0.003462832857468937	2.0
8618	3.078610844609365	3.2955183014056647e-06	0.002037205750601361	2.0
9292	3.2325413868398334	3.538070416242086e-06	0.001624936508648731	2.0
9967	3.3941684561818253	3.7816528389278754e-06	0.0028743891541907684	2.0
10642	3.5638768789909165	4.041651207728056e-06	0.004500833329975842	2.0
11369	3.742070722940462	4.3217827979060195e-06	0.0009506986175319072	2.0
12096	3.9291742590874854	4.611951232129987e-06	0.0012634676763669142	2.0
12824	4.12563297204186	4.914399594008119e-06	0.0034505741778534456	2.0
13812	4.3319146206439525	5.23165865239251e-06	0.0036155286328930112	2.0
14540	4.54851035167615	5.558094924936978e-06	0.0015537190356765223	2.0
15320	4.775935869259957	5.914385539429315e-06	0.0013023357010026931	2.0
16047	5.014732662722955	6.255996398830873e-06	0.0013634028950171293	2.0
16932	5.265469295859103	6.5991528447646496e-06	0.00289703637255148	2.0
17712	5.528742760652058	7.014892996083521e-06	0.0008661225515596481	2.0
18910	5.805179898684661	7.427278910637134e-06	0.0022050437414809377	2.0
19689	6.095438893618894	7.836955972599764e-06	0.0034698683930795304	2.0
20887	6.400210838299839	8.269307517973125e-06	0.00581472256909416	2.0
22502	6.720221380214831	8.703744744892747e-06	0.001994304686420241	2.0
23492	7.056232449225572	9.133081852517101e-06	0.0020368039259227914	2.0
24429	7.409044071686851	9.638963287404287e-06	0.0010495692546624595	2.0
25419	7.779496275271193	1.012403843197695e-05	0.0020482528032768517	2.0
28551	8.168471089034753	1.0632424487152765e-05	0.0017339565698164584	2.0
31897	8.57689464348649	1.1145459342709142e-05	0.0019296442475552494	2.0
36294	9.005739375660815	1.1700822292763044e-05	0.001604855964107352	2.0
42940	9.456026344443856	1.2238832555912532e-05	0.0017052601325829257	2.0
66286	9.928827661666048	1.287849002377713e-05	0.003471457841162737	2.0
68860	10.425269044749351	1.340130906569306e-05	0.001868564335745727	2.0
