时间秒	热浴温度K	κ	变异系数	时间常数平均
199	0.7	2.3275235254426822e-07	0.030778490738417888	2.0
398	0.735	2.2054957285155513e-07	0.005069720678618975	2.0
596	0.7717499999999999	2.184596963046131e-07	0.004598550840150339	2.0
795	0.8103374999999999	2.1697315873944074e-07	0.015195202359409602	2.0
993	0.8508543749999999	2.1871748094410412e-07	0.015610749738346124	2.0
1192	0.89339709375	2.2317350488296005e-07	0.014608646590041727	2.0
1391	0.9380669484374999	2.596524151512196e-07	0.006361912520730049	2.0
1589	0.9849702958593749	2.9780203872364525e-07	0.006799043599206692	2.0
1787	1.0342188106523436	3.368209015490288e-07	0.0023979782992139933	2.0
1985	1.0859297511849608	3.840948217568523e-07	0.003225058096949896	2.0
2183	1.1402262387442088	4.367824363530987e-07	0.005070822029764111	2.0
2382	1.1972375506814192	4.949515860697209e-07	0.005355960293891945	2.0
2580	1.2570994282154901	5.60204737158891e-07	0.003276162652314251	2.0
2779	1.3199543996262646	6.32770515990167e-07	0.004157572251068597	2.0
2977	1.385952119607578	7.10699017218731e-07	0.0037574431286850674	2.0
3175	1.4552497255879568	7.951458525415673e-07	0.0037902917251084307	2.0
3373	1.5280122118673547	8.888139802375708e-07	0.006114741517171119	2.0
3571	1.6044128224607224	9.927858953153432e-07	0.006448981548977996	2.0
3770	1.6846334635837585	1.1029570796299942e-06	0.002446884132441947	2.0
3967	1.7688651367629464	1.2256676525343634e-06	0.0034504198248173482	2.0
4165	1.8573083936010937	1.3544399714389517e-06	0.008504880747306438	2.0
4362	1.9501738132811484	1.492139907432265e-06	0.0029884622197976413	2.0
4560	2.0476825039452056	1.6190278308195694e-06	0.005149492135781578	2.0
4759	2.150066629142466	1.7811858890660812e-06	0.0014161815689960919	2.0
4957	2.2575699605995894	1.9470306912546704e-06	0.0035517312132629015	2.0
5155	2.3704484586295687	2.1249126334392257e-06	0.0016946331566702938	2.0
5352	2.488970881561047	2.312415118574038e-06	0.003841099829757737	2.0
