时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
214	0.7941079305664076	5e-07	0.041957732359755306	2.3515897893147104e-07	2
369	0.7588245932241272	3.229111375105814e-07	0.020515853103187598	2.1395527618700048e-07	2
524	0.7480272480364107	2.9823407211442334e-07	0.01841192788073176	2.0625484177738516e-07	2
763	0.741471472623126	2.907546373982027e-07	0.018011751735544035	2.019199851655252e-07	2
918	0.7443564109569986	2.9367186954638756e-07	0.01825419561962094	2.0263189210851036e-07	2
1073	0.7405143678052659	2.946420121608654e-07	0.018581441753600103	2.0094351950696222e-07	2
1311	0.757541553169071	2.9300068888496573e-07	0.017261628445621513	2.1087920139382821e-07	2
1466	0.7591943999088215	3.097676654548213e-07	0.019207414703865444	2.1078525396139363e-07	2
1622	0.7591937418070538	3.1046307132186745e-07	0.01903741452708896	2.135735474197492e-07	2
1859	0.8008276032659547	3.125462479744279e-07	0.016851932361982236	2.3649549003477042e-07	2
