时间秒	热浴温度K	κ	变异系数	时间常数平均
5272	1.8	1.2545945618119091e-06	0.019229538973977948	2.0
5947	1.8900000000000001	1.4228824900983492e-06	0.003145589449496216	2.0
6623	1.9845000000000002	1.5658289148233336e-06	0.003110863691284288	2.0
7298	2.0837250000000003	1.6993689095022403e-06	0.00258032783886959	2.0
7973	2.1879112500000004	1.8450405470172584e-06	0.003260064947113036	2.0
8649	2.2973068125000005	2.0010499229639138e-06	0.002222308070146816	2.0
9324	2.4121721531250007	2.170582828206093e-06	0.002646592855694918	2.0
10000	2.5327807607812507	2.36527403686855e-06	0.0016366361468684598	2.0
10676	2.659419798820313	2.550144771166126e-06	0.0013655157314215675	2.0
11353	2.792390788761329	2.760310472845005e-06	0.000645153641557593	2.0
12030	2.932010328199395	2.972403403420024e-06	0.0007841894502109615	2.0
12707	3.078610844609365	3.198913403919229e-06	0.002662973007868648	2.0
13384	3.2325413868398334	3.423515745350809e-06	0.0033923688594398155	2.0
14060	3.3941684561818253	3.675646556753445e-06	0.0031052076519460735	2.0
14737	3.5638768789909165	3.935352359762756e-06	0.0032103724336273623	2.0
15413	3.742070722940462	4.2046645256443216e-06	0.00189356856154426	2.0
16090	3.9291742590874854	4.512229201892048e-06	0.003345038034791629	2.0
16766	4.12563297204186	4.805510273868371e-06	0.001467400944115237	2.0
17443	4.3319146206439525	5.14544833332539e-06	0.0018375352060907965	2.0
18121	4.54851035167615	5.484716902542007e-06	0.0027066398003035095	2.0
18850	4.775935869259957	5.840190999480462e-06	0.0018359202606784313	2.0
19579	5.014732662722955	6.211413978562926e-06	0.0032186889804960562	2.0
20309	5.265469295859103	6.607281310491773e-06	0.0034685721486600713	2.0
21038	5.528742760652058	7.01206641708441e-06	0.0007703325433530092	2.0
21766	5.805179898684661	7.4363558502188295e-06	0.0014553380542113154	2.0
22495	6.095438893618894	7.871697562244822e-06	0.000845410863888412	2.0
23224	6.400210838299839	8.34771505831175e-06	0.0022427215943062063	2.0
23954	6.720221380214831	8.809470970199243e-06	0.002052757045790177	2.0
24684	7.056232449225572	9.291666134321214e-06	0.002960396210119992	2.0
25415	7.409044071686851	9.788982504238701e-06	0.005234746251540909	2.0
26200	7.779496275271193	1.0343915052010082e-05	0.002487615930570323	2.0
26985	8.168471089034753	1.0944024888194225e-05	0.003295386516307588	2.0
27770	8.57689464348649	1.1547948203193863e-05	0.0030018878967393104	2.0
28556	9.005739375660815	1.213627257020023e-05	0.0017365904322804058	2.0
29396	9.456026344443856	1.2743748723311435e-05	0.007500024890365861	2.0
30234	9.928827661666048	1.3352140288404242e-05	0.0035025921670362717	2.0
31073	10.425269044749351	1.3976061699010365e-05	0.004552635727668626	2.0
31967	10.94653249698682	1.4660860268772381e-05	0.0035531826454504767	2.0
32858	11.49385912183616	1.5338313807919308e-05	0.005557611874731808	2.0
34275	12.068552077927967	1.588336662206313e-05	0.0019375079459584398	2.0
35222	12.671979681824364	1.668200495675397e-05	0.008105606842634722	2.0
36535	13.305578665915583	1.7249266926267883e-05	0.002234255416911798	2.0
37639	13.970857599211362	1.779745431581567e-05	0.0015404532538958295	2.0
38638	14.66940047917193	1.8216754851264357e-05	0.0046263923596491455	2.0
39689	15.402870503130526	1.9194748540632442e-05	0.017788783567758162	2.0
40794	16.173014028287053	1.9537893391394733e-05	0.005770863845922448	2.0
42002	16.981664729701407	2.0224318031771143e-05	0.001701431055631542	2.0
43264	17.83074796618648	2.069934542823333e-05	0.002718575334439118	2.0
44474	18.722285364495804	2.158763386169887e-05	0.008976488650828196	2.0
45893	19.658399632720595	2.2338091415291425e-05	0.005094622805547417	2.0
47207	20.641319614356625	2.3102242765707995e-05	0.007139809725278141	2.0
48521	21.673385595074457	2.3714420630001005e-05	0.004523666308358698	2.0
50307	22.757054874828178	2.4530433675703185e-05	0.0120037100633961	2.0
52146	23.894907618569587	2.5317108441228062e-05	0.012935311907152983	2.0
54141	25.089652999498067	2.5967082086398084e-05	0.0031652000046111513	2.0
56295	26.34413564947297	2.6535690416836575e-05	0.005429441151491983	2.0
58605	27.66134243194662	2.6661359084856696e-05	0.009184627496593467	2.0
61126	29.04440955354395	2.6695727129082752e-05	0.015788325758183633	2.0
