时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
128	279.8583401219725	0.0002	0.15223065342756506	0.00265418322365679	7.136049348794119
279	279.5227212701318	0.00022924186749345027	0.2007731092270404	0.0026440943020038794	7.138827513738913
430	278.2513201266641	0.00022880007539998655	0.20052249668715383	0.0026373298014616027	7.0865194401290665
580	277.0469709522447	0.0002285017915156521	0.1990453591430898	0.0026500985621023504	7.037079631261889
731	275.89294713419383	0.00022904909445355036	0.200217667834952	0.0026473349940056654	7.045288154826921
881	274.8065924786673	0.00022892455454935954	0.2000269805853643	0.002647086114570077	7.065614524157204
1032	273.8139245026489	0.00022890911481527598	0.1998878055533263	0.002648670974763045	7.0419591383736515
1183	272.92177790296853	0.00022897334766986378	0.1992256985676272	0.0026590546365073114	7.00723235072178
1333	272.09504003069674	0.00022941787480728547	0.19844036047491367	0.0026800380477248567	6.9683799091697
1484	271.40057541746	0.0002303176637528425	0.19856829339150375	0.002699435813104523	6.941678928385106
1634	270.82232674437046	0.00023114648457598069	0.19813529392779153	0.0027249049933382777	6.897504367565957
1784	270.32978433507515	0.00023223162916652946	0.20037079170550748	0.002719919120908488	6.917391614815031
1934	269.8467539462307	0.00023201665413186118	0.20072960661470385	0.0027100838269892946	6.950917404325122
2084	269.4441457234084	0.00023159460630085236	0.20010951582708256	0.0027086435283342016	6.943866859231868
2234	269.0978578950358	0.00023153122414258323	0.2001495461966331	0.0027066571589794103	6.948787836645539
2384	268.8123418492118	0.00023144471112098046	0.19989837599811244	0.0027080643693446304	6.944918294455427
2535	268.56676084233777	0.00023150353438328692	0.19918337893655633	0.0027191947490612287	6.884060890668137
2684	268.3678980506436	0.00023197761332004904	0.1998048930397682	0.0027218741749277186	6.896972854785599
2834	268.2418369586662	0.00023209084729198937	0.20056866608695156	0.002714171204616956	6.9107923595302125
2985	268.1111850631577	0.00023176159377340485	0.20059842933271288	0.002706087572523279	6.93102782599838
3135	268.02526884559654	0.0002314156376040338	0.20003211296990991	0.0027056611400805572	6.93075384702402
3285	267.96143154717566	0.00023139706123252046	0.19990956432855633	0.0027068922485232226	6.9246147861743825
3435	267.94580209853154	0.00023144939535296347	0.1993307271340731	0.002715982694367581	6.9100180848399795
3585	267.97066698355627	0.00023183762699889742	0.19922218280667522	0.002726585728565854	6.8884150862987354
3735	268.00112959159077	0.0002322897644590784	0.20085550473743893	0.00271497147816377	6.929360759147369
3885	268.0453718203095	0.0002317945401593312	0.20046629160753823	0.0027086492413178624	6.9185046925148415
4036	268.109395438378	0.00023152480210813644	0.20011971082871172	0.0027070209335393097	6.92832849288232
4186	268.23609570813176	0.0002314555431332017	0.19975096046651578	0.0027103798796180903	6.886411812757225
4336	268.36149290591777	0.00023159978180263985	0.20011667045310638	0.0027087881196209106	6.908645978292902
4486	268.45256900166316	0.00023153225921458955	0.19865460017705922	0.002727123681381592	6.874509641990491
4636	268.5514423785883	0.00023231496905346712	0.20051228427908363	0.002720149058920833	6.905826166786457
4786	268.78860498800907	0.00023201801114151093	0.19939727892851458	0.0027283380823445945	6.8099199696728085
4936	269.35739262650367	0.00023236840867130418	0.19897492725585092	0.002742328821841487	6.877555608156093
5086	269.890145087239	0.00023296619386101058	0.19904227448719244	0.0027554631155469887	6.878607535583502
5236	270.50516133194276	0.0002335259993589764	0.19835615952150293	0.00277822785831473	6.86480146231805
5385	271.18210645897483	0.0002344916548678859	0.19815491960562023	0.002804020706592847	6.8233109157278795
5535	271.9076401452561	0.00023558083668103963	0.19778880150997413	0.002835287695230797	6.769061474649237
5685	272.6620496089133	0.00023689402570102413	0.1986029856734338	0.002855148240374857	6.755395019977819
5834	273.43224204888537	0.00023772574633683334	0.19927343716175863	0.002865471482647677	6.742921511373021
5984	274.2138018858097	0.0002381587331475524	0.19928145823412796	0.002875714176398651	6.76866183246253
6133	274.9981771596689	0.0002385877068691803	0.1989190272032521	0.002891252520311773	6.767528233558538
6283	275.7433147774885	0.0002392350994077562	0.19902883679836822	0.002905278599405576	6.740703314686336
6432	276.4670850664494	0.0002398180641588411	0.20032404572697057	0.002900502978926685	6.788501183993334
6582	277.10819978807405	0.0002396240198767539	0.19994344443249418	0.0029012550239917467	6.749148054211588
6731	277.65352719425056	0.00023965790724495123	0.20054180662867727	0.0028933600489724955	6.783969632822612
6881	278.1278322332515	0.00023933394470859298	0.2013060041540365	0.0028745393864239243	6.816092444239055
7031	278.51670812321305	0.00023855632324118557	0.20127168540212131	0.002856335758713527	6.846481215622302
7180	278.8269382055525	0.0002378014994741468	0.20149177115795752	0.0028351558397559638	6.873550193174721
7330	279.05242555869023	0.00023691956653130149	0.2013548856671382	0.0028160546454221677	6.905581686251131
7480	279.20558416158156	0.0002361211236818517	0.20131168154015192	0.002797690010152611	6.929099867940172
7630	279.3104152687053	0.00023535062226616167	0.20055601078097274	0.0027899234260817356	6.916885655455159
7781	279.35274846352354	0.000235024159089385	0.19942756517759389	0.002797928743523201	6.871045296442019
7930	279.39220034119984	0.00023536122284550123	0.202003442742865	0.002770179265790783	6.970790229216899
8081	279.31740612514784	0.00023419117418002353	0.20126167771926678	0.002752819056520263	6.968222577739521
8231	279.223554056361	0.0002334559663732623	0.2014262607094287	0.0027333361505923336	6.986698634157146
8381	279.0567196894429	0.00023262796959257784	0.20072847458924967	0.0027234321605076974	7.000405448198456
8532	278.86463306066895	0.0002322054645221679	0.20098203587719557	0.0027101451778013637	7.002056721915327
8682	278.6442287799185	0.00023163747014149158	0.2007146631105533	0.00270051741638364	7.009256803681169
8833	278.38677876104197	0.00023122471909266498	0.19962840020498118	0.0027055708792175052	6.979867231330776
8983	278.13878298031926	0.00023143982653672297	0.20051782890490058	0.0026986112406146515	7.0071931948846755
9134	277.83827054098816	0.00023114079151544668	0.2010933108666366	0.0026839701785481345	7.0318612882962475
9284	277.4959435031365	0.0002305115981356332	0.2012291893794967	0.0026676087210048024	7.044795803821577
9435	277.11784107892703	0.00022980649062042844	0.2004826510925596	0.0026612233883570096	7.0624787090446945
9585	276.7194368885908	0.00022952970060911872	0.2009166459862863	0.002649122181929637	7.062750404610299
9736	276.27590643175176	0.00022900550809660996	0.1996292854161702	0.0026540853783936277	7.051093911172066
9886	275.87538952875934	0.0002292180428078013	0.19928003222673513	0.002663717116718848	6.999318698305519
10037	275.44812602441135	0.0002296317340695589	0.20074776140631995	0.0026538404812829442	7.026657938800216
10187	274.9619746583491	0.00022920365969087575	0.20086502571058576	0.002642460382661484	7.066558166139559
10338	274.4554460278679	0.00022870959414075543	0.2005943677767756	0.002634680902121004	7.062463699230748
10488	273.96099078765695	0.00022837050570850918	0.20036024444628042	0.002629993841739689	7.074948160560707
10639	273.45805396175825	0.00022816511012327894	0.200279492261542	0.002626374441648966	7.064925662421009
10789	272.910748219473	0.0002280058510660484	0.19991217486768675	0.002627584235886007	7.048878087464345
10940	272.4011528466303	0.0002280559291696825	0.19899767532485557	0.002640872569222608	6.99370959700751
11090	271.84797820714994	0.00022862955136901934	0.20019757594506365	0.0026383258176136976	7.012088369566405
11241	271.3012975786964	0.00022851670572138233	0.2007342207106035	0.002628732294532168	7.048612957954509
11391	270.70308337716943	0.00022809840284940665	0.20047534388562502	0.0026225600871908473	7.042040047998672
11542	270.1225218114051	0.000227827822122057	0.2000439484270505	0.0026220436954194925	7.046536533635832
11693	269.5298435453171	0.00022780279456063732	0.2001900115186824	0.002619617185455842	7.0458859694208025
11843	268.9293873129466	0.0002276946587186119	0.19998839237897217	0.0026198322279072845	7.031624644765867
11994	268.31358576428704	0.00022770126648951136	0.19950353788948985	0.0026264173042024044	7.003446777275414
12144	267.72692847661506	0.00022798440635781903	0.1987020381341055	0.002643637851683434	6.953072863817652
12294	267.0845514550877	0.00022872781441720343	0.2010628065165183	0.0026297353299222113	6.9993792049935095
12444	266.4343447295391	0.0002281224923483977	0.20040343354746104	0.002624508452307698	7.028996297311521
12595	265.80056689806713	0.00022789275918192232	0.2000817634294844	0.0026235037580890235	7.005258803569253
12746	265.21036660329634	0.00022784619022621325	0.19995151173269685	0.002624203422927651	7.043522673201357
12896	264.55341959308834	0.00022787381491677918	0.20006015287004256	0.002623486335953445	7.004430815134151
13047	263.91490003096766	0.00022783955448488596	0.19935715839952398	0.0026320154820649146	6.98544541078575
13197	263.3057295558075	0.00022820660140577309	0.1986710222166349	0.0026496918484418177	6.927542909946738
13347	262.6456766722886	0.00022896860484502866	0.20068570420626783	0.0026407148605400426	6.961958993262398
13497	262.02366019601675	0.0002285770994326838	0.20064089686744466	0.00263234738939901	6.972474202833352
13647	261.37378046401784	0.00022821174141910783	0.19989942031827448	0.0026337428952172147	6.968760241291219
13797	260.72380791501496	0.00022826914673259097	0.1999511710840789	0.00263445963799188	6.963876601949608
13947	260.00533653633767	0.0002282970171734406	0.19955593816746142	0.0026404033682299786	6.949925194281819
14098	259.40980557438104	0.00022855088498003264	0.19873238716082844	0.002657314966453631	6.87890473695873
14247	258.7772635080157	0.00022927863128058233	0.20023006302049728	0.002654337448370972	6.909942453992428
14398	258.0991131405119	0.00022914687360570474	0.20012207970628396	0.0026527955951851454	6.924246540885799
14548	257.4185088181985	0.00022907697014823907	0.20027181957330661	0.002649274028029353	6.925753430217314
14698	256.75842227585827	0.0002289214596351029	0.19984963655127846	0.0026513437090906855	6.920203829219368
14848	256.0888287855482	0.000229007561738323	0.19978133444887453	0.002654324731146259	6.905094828037985
14998	255.4384112260017	0.00022913285464910003	0.199673969626852	0.002658736210778984	6.881781422366262
15148	254.6961534722533	0.0002293198439711804	0.198515895600965	0.002678703096651256	6.821940137001028
15298	254.12345652346778	0.0002301754451553294	0.20044566415130083	0.0026728200385338513	6.852003793771952
15448	253.4539746118329	0.00022991942059355885	0.20028302168045486	0.002669122553489838	6.872208392741425
15598	252.74569542738956	0.0002297569125960945	0.2000892387102324	0.002668017668868771	6.8600966116490225
15748	252.06401413317573	0.00022970567171660188	0.19964376397301214	0.002672860613117975	6.8547178332466645
15897	251.39266548104527	0.0002299105189993621	0.1998948494643945	0.0026743506669129453	6.83890834441574
16047	250.72456752393393	0.00022997098087693772	0.199788551527394	0.0026772644053242433	6.848602413148581
16197	250.0563547382727	0.00023009264488832717	0.19938318350578454	0.00268563046254146	6.810378282190052
16347	249.39567877054014	0.00023044828005261338	0.19820010465530563	0.002710104513954895	6.754402074435068
16496	248.7757270860564	0.00023149228897787358	0.20031234548116517	0.0027059630087842667	6.772182350967066
16645	248.03721901268017	0.00023131173650471428	0.20057801552905205	0.0026982580276215485	6.9174415302184595
16796	247.380750896155	0.00023097820484077562	0.20007807018269994	0.002697287610285149	6.78617644161967
16945	246.7188967177724	0.0002309331367579929	0.19973650681473099	0.0027009311351023878	6.788007407137483
17094	246.04783930738913	0.0002310854105055996	0.1998200374956172	0.00270345170342292	6.78662992791125
17244	245.3700872144846	0.00023118944749420778	0.19957680477462805	0.002709273477078054	6.773876662701437
17393	244.7003286496186	0.00023143443202473896	0.19847096240562853	0.002730235941599961	6.722484895162624
17543	244.07563713519548	0.00023232421708619015	0.1997267459742347	0.0027340597052580825	6.7404128051550405
17692	243.4080271286933	0.00023248308871991766	0.20054674903363842	0.0027266959228891947	6.755651447197767
