时间秒	热浴温度	高侧	低侧
1652442317.634032	0.7	45598.52	47884.86
1652442399.9389439	0.735	45667.53	47962.69
1652442482.3528469	0.7717499999999999	45699.92	48005.6
1652442564.7445872	0.8103374999999999	45628.2	47927.18
1652442647.159053	0.8508543749999999	43882.19	45926.84
1652442729.4260964	0.89339709375	42041.17	43854.43
1652442811.7134838	0.9380669484374999	40269.24	41898.68
1652442893.9959967	0.9849702958593749	38672.61	40156.35
1652442976.3071163	1.0342188106523436	37134.77	38499.25
1652443058.5809677	1.0859297511849608	35709.07	36974.16
1652443140.8406777	1.1402262387442088	34369.37	35559.25
1652443223.1741614	1.1972375506814192	33120.7	34243.91
1652443306.8181198	1.2570994282154901	31938.88	33003.56
1652443388.9706023	1.3199543996262646	30836.27	31855.47
1652443471.177591	1.385952119607578	29789.82	30767.31
1652443553.4429226	1.4552497255879568	28810.6	29753.04
1652443635.6213126	1.5280122118673547	27885.46	28796.17
1652443717.9011168	1.6044128224607224	27014.95	27900.48
1652443800.1298676	1.6846334635837585	26192.07	27053.19
1652443882.4147222	1.7688651367629464	25414.87	26254.47
1652443964.9298463	1.8573083936010937	24678.22	25498.86
1652444047.189938	1.9501738132811484	23986.49	24788.77
1652444129.5603588	2.0476825039452056	23327.91	24113.78
1652444211.8736246	2.150066629142466	22706.81	23478.15
1652444294.2657156	2.2575699605995894	22117.34	22873.25
1652444376.5953386	2.3704484586295687	21558.11	22300.69
1652444458.8390634	2.488970881561047	21027.74	21756.87
1652444541.1278272	2.6134194256390995	20522.9	21240.07
1652444623.4473703	2.7440903969210546	20047.53	20751.91
1652444705.7478049	2.881294916767107	19591.2	20284.75
