时间秒	热浴温度	高侧	低侧
1651643619.2848413	1.8	25569.308999999997	26405.9495
1651643871.071048	1.8900000000000001	25042.267000000003	25865.4655
1651644122.9371834	1.9845000000000002	24293.526000000005	25099.871
1651644687.9564824	2.0837250000000003	23584.496499999997	24373.755
1651644939.972245	2.1879112500000004	22918.819499999998	23692.972999999998
1651645191.9565632	2.2973068125000005	22292.986	23052.514000000003
1651645444.2941039	2.4121721531250007	21704.045	22449.6525
1651645696.4735875	2.5327807607812507	21147.501500000002	21880.609000000004
1651645948.6054409	2.659419798820313	20622.124	21343.3195
1651646200.606059	2.792390788761329	20125.6875	20835.6525
1651646452.840592	2.932010328199395	19655.706000000002	20354.482999999997
1651646705.0567634	3.078610844609365	19211.468999999997	19899.5525
1651646957.293734	3.2325413868398334	18789.7875	19467.608500000002
1651647209.5369089	3.3941684561818253	18389.718500000003	19058.242
1651647461.7898142	3.5638768789909165	18011.051	18670.328999999998
1651647714.203257	3.742070722940462	17649.343500000003	18299.8915
1651647966.3981316	3.9291742590874854	17307.8115	17950.269
1651648218.592642	4.12563297204186	16983.039	17617.3665
1651648470.819137	4.3319146206439525	16674.0115	17300.4375
1651648723.059249	4.54851035167615	16379.2875	16998.856499999998
1651649027.7622957	4.775935869259957	16098.634500000002	16710.6395
1651649332.5250745	5.014732662722955	15831.811000000002	16437.2995
1651649637.411883	5.265469295859103	15577.4725	16176.255
1651649941.9175267	5.528742760652058	15334.808000000003	15927.1555
1651650246.80974	5.805179898684661	15103.2405	15689.805
1651650551.6107821	6.095438893618894	14882.5875	15463.173999999999
1651650856.2790017	6.400210838299839	14671.466	15246.39
1651651161.037863	6.720221380214831	14470.570499999998	15040.357000000002
1651651466.1150007	7.056232449225572	14278.2045	14843.081499999998
1651651771.5116842	7.409044071686851	14095.282	14655.154000000002
1651652128.9449823	7.779496275271193	13919.3465	14474.485999999999
1651652486.1790998	8.168471089034753	13753.0525	14303.558500000001
1651653000.835933	8.57689464348649	13594.107	14140.5145
1651653358.7109125	9.005739375660815	13441.802	13983.8435
1651653768.850419	9.456026344443856	13295.664500000003	13833.925
1651654179.6355972	9.928827661666048	13156.5975	13690.7665
1651654589.993464	10.425269044749351	13023.873500000002	13554.4385
1651655052.4325306	10.94653249698682	12897.181	13424.0945
1651655515.4999313	11.49385912183616	12774.948999999999	13299.05
1651656868.3151395	12.068552077927967	12659.7115	13180.288999999999
1651657384.1045353	12.671979681824364	12548.365	13065.888500000001
1651657899.2324975	13.305578665915583	12442.751499999998	12956.951000000001
1651658572.3326848	13.970857599211362	12341.173999999999	12852.796999999999
1651659141.442638	14.66940047917193	12264.957999999999	12774.378999999999
1651659762.4771864	15.402870503130526	12171.944	12678.928500000002
