时间秒	晶中温度K	设定电流	电压差V	κ	时间常数
118	251.51579566628402	8e-05	0.021225211954142873	0.0030488524860665007	3.5665177834548722
257	248.42872516947477	0.0002	0.1824147170987965	0.002217538445110882	4.104873021193826
396	245.30658286083957	0.0002	0.18731764072823484	0.002159803010140837	3.977288977906017
535	242.32218257331087	0.0002	0.1844526676043135	0.0021936547295764055	3.9278566400416546
674	239.5230178246467	0.0002	0.19124419404215717	0.0021160365064253834	3.9003540805468573
813	236.76755665162477	0.0002	0.18997996067700892	0.0021304045702546784	3.79659943029647
952	234.17973075225535	0.0002	0.197091418389834	0.0020538016480945035	3.7813955655007225
1091	231.59657137995595	0.0002	0.19284004568046606	0.002099356615698567	3.756201646309806
1230	229.17521852908578	0.0002	0.1897444910067017	0.00213387560187735	3.6951980553902533
1369	226.76404724421883	0.0002	0.18684104286952585	0.002167313568783689	3.6470736149721485
1508	224.47567225232615	0.0002	0.18009494358878642	0.0022487772444706737	4.067296718353022
1647	222.2014705725	0.0002	0.1569156215685493	0.002581285589471642	3.566620588253562
1786	220.03139855403495	0.0002	0.1901565766856232	0.0021303211939547335	3.6480990048113915
1926	217.95807555162548	0.0002	0.1968964246954744	0.002057646550866238	3.6509825999064924
2065	215.89284339115537	0.0002	0.1979125032013684	0.002047331585025227	3.6341640768893737
2204	213.90610452846164	0.0002	0.17694369041320715	0.0022902216859311134	11.30630471734768
2362	211.73214094843019	0.0002	0.20823469330397162	0.0019463371033407982	18.280363470253324
2545	209.19483563700533	0.0002	0.15605735807175555	0.0025974927589163975	3.978196779190012
2684	207.41748132718507	0.0002	0.17187690363215533	0.002358689314143331	3.81013559710811
2823	205.60817129942419	0.0002	0.15220105642580695	0.002663919023634432	3.4299280193096946
2962	203.8265914635219	0.0002	0.14005251055581733	0.002895332925793415	3.307781329063615
3101	202.18464630893052	0.0002	0.13472777868647312	0.0030100933049556446	3.2545310552836884
3240	200.50920187358997	0.0002	0.1263549615573163	0.003209919862017634	3.1355031517103047
3379	198.9135885477882	0.0002	0.12170391734012534	0.0033329579003978723	3.0636050104233186
3518	197.31474293614806	0.0002	0.11772416732142119	0.003446017995098939	2.913412188927392
3658	195.29825840357782	0.0002	-0.3519950649131986	-0.001152642582457613	32.84870879583582
3911	192.91473598101413	nan	0.0012368534021828348	nan	22.639343358941144
