时间秒	热浴温度	高侧	低侧
1650616053.482768	0.7	46897.76	49127.71
1650616181.3134997	0.7699999999999999	46767.64	48973.79
1650616335.4415638	0.8469999999999999	42953.2	44703.82
1650616463.180636	0.9316999999999999	39651.53	41109.25
1650616591.0226564	1.02487	36766.66	38028.05
1650616718.7999167	1.127357	34191.85	35323.24
1650616873.040402	1.2400927	31905.69	32938.25
1650617027.2927017	1.3641019699999999	29865.04	30827.38
1650617181.5704024	1.500512167	28044.57	28948.82
1650617362.2982378	1.6505633836999998	26403.79	27263.72
1650617516.8171773	1.8156197220699997	24931.67	25753.06
1650617671.0139828	1.9971816942769995	23693.567999999992	24487.71
1650618090.215384	2.1968998637046995	22489.474	23252.638
1650618403.429259	2.4165898500751695	21402.666999999998	22139.606
1650618690.2441943	2.6582488350826865	20421.308999999997	21135.527000000002
1650618950.5352857	2.924073718590955	19529.508	20222.623
