时间秒	热浴温度	高侧	低侧
1651130130.418986	0.7	48836.69	50944.26
1651130212.8164678	0.7174999999999999	48903.82	51023.27
1651130295.223339	0.7354375	48927.61	51052.22
1651130377.6998858	0.7538234374999999	48947.45	51071.64
1651130460.1978862	0.7726690234374999	48893.89	51014.99
1651130542.6905117	0.7919857490234373	47645.9	49629.11
1651130625.005102	0.8117853927490233	46459.7	48318.03
1651130707.2843077	0.8320800275677489	45335.63	47089.24
1651130789.587785	0.8528820282569426	44260.26	45924.68
1651130871.8838143	0.8742040789633662	43234.59	44815.01
1651130954.2474504	0.8960591809374503	42257.83	43765.85
1651131036.5268497	0.9184606604608866	41328.43	42770.75
1651131118.7677982	0.9414221769724087	40429.01	41813.52
1651131201.0057416	0.9649577313967189	39561.58	40898.68
1651131283.2798743	0.9890816746816369	38724.86	40014.88
1651131365.5888786	1.0138087165486778	37919.23	39172.68
1651131447.7345834	1.0391539344623948	37149.31	38360.86
1651131529.9591093	1.0651327828239547	36397.97	37577.45
1651131612.2457654	1.0917611023945537	35677.26	36825.17
1651131694.516593	1.1190551299544176	34983.54	36099.14
1651131776.8018906	1.147031508203278	34311.87	35400.22
1651131859.4700117	1.17570729590836	33658.94	34723.63
1651131942.2312796	1.2050999783060692	33028.19	34073.63
1651132024.5172992	1.2352274777637209	32421.77	33443.51
1651132106.8857677	1.2661081647078138	31832.15	32833.85
1651132189.1535966	1.2977608688255091	31259.58	32244.61
1651132271.4206824	1.3302048905461468	30706.5	31674.98
1651132353.7150195	1.3634600128098004	30171.12	31126.02
1651132435.9953425	1.3975465131300455	29654.53	30590.76
1651132518.6785755	1.4324851759582966	29151.63	30074.55
1651132601.0503626	1.4682973053572541	28662.76	29573.55
1651132683.5075126	1.5050047379911855	28190.79	29087.47
1651132765.798077	1.542629856440965	27732.43	28616.85
1651132848.0998342	1.5811956028519891	27285.43	28159.7
1651132930.5898993	1.6207254929232888	26854.45	27718.57
1651133013.1051602	1.6612436302463711	26429.08	27282.4
1651133095.5889277	1.7027747210025304	26023.76	26870.22
1651133178.367668	1.7453440890275935	25631.28	26466.92
1651133261.0931964	1.7889776912532833	25243.1	26070.59
1651133343.5244434	1.8337021335346153	24870.57	25688.82
1651133425.8568804	1.8795446868729806	24507.88	25318.26
1651133508.3543425	1.9265333040448052	24156.87	24959.04
1651133590.870282	1.9746966366459253	23913.660999999996	24713.25
1651133673.364086	2.0240640525620734	23580.510000000006	24371.92
1651133755.8479497	2.0746656538761252	23254.971	24040.95
1651133838.3770466	2.1265322952230283	22937.697	23714.863
1651133921.03691	2.179695602603604	22629.451000000005	23400.015
1651134003.5353708	2.2341879926686943	22330.059999999994	23092.561
1651134086.0425642	2.290042692485412	22040.558000000005	22796.641999999996
1651134168.6040132	2.347293759797547	21757.670999999995	22507.21
1651134251.0952873	2.405976103792486	21481.098	22223.986999999997
1651134333.5689135	2.466125506387298	21214.181	21951.157000000007
1651134416.0742798	2.5277786440469807	20952.588	21683.144000000004
1651134498.583083	2.5909731101481555	20697.559	21422.801000000007
1651134581.2257624	2.6557474379018595	20449.801	21169.186999999998
1651134664.1653233	2.722141123849406	20208.803	20922.383
1651134746.8745403	2.790194651945641	19973.427	20681.716999999997
1651134829.444016	2.859949518244282	19743.997000000003	20446.615
1651134912.173426	2.931448256200389	19520.256999999998	20217.829999999994
1651134994.8602371	3.004734462605399	19302.642000000003	19995.056
1651135077.7165399	3.079852824170534	19090.092	19777.561999999998
1651135160.4974663	3.1568491447747973	18882.881999999998	19565.100999999995
1651135243.625244	3.235770373394167	18680.929999999997	19358.533
1651135326.5451362	3.3166646327290215	18483.416	19156.248
1651135409.463372	3.399581248547247	18291.06	18959.414
1651135492.0440502	3.4845707797609284	18103.491	18766.554
1651135575.3204877	3.5716850492549517	17920.438000000002	18579.55
1651135658.2974594	3.6609771754863254	17741.698	18396.176
1651135741.2455254	3.7525016048734834	17567.583000000002	18217.511
1651135824.314858	3.8463141449953206	17396.992	18043.054999999997
1651135907.2749257	3.9424719986202037	17230.929	17873.071
1651135990.8038619	4.041033798585709	17068.882	17706.673
1651136073.5385368	4.142059643550352	16910.558000000005	17544.301999999996
1651136156.880762	4.245611134639111	16755.3	17385.149999999994
1651136240.4774768	4.351751413005089	16604.615000000005	17230.946
1651136324.1189883	4.460545198330216	16457.409	17079.269
1651136407.21895	4.572058828288472	16312.942000000005	16931.774
1651136490.1178439	4.686360298995684	16172.665000000003	16787.970999999998
1651136573.3444538	4.803519306470576	16035.747	16646.818
1651136656.3948247	4.92360728913234	15901.608	16509.39
