时间秒	热浴温度K	κ	变异系数	时间常数平均
676	1.8	1.344586742492866e-06	0.008196053147712786	2.0
1350	1.8900000000000001	1.4464208712958223e-06	0.0029964033160576917	2.0
2025	1.9845000000000002	1.5710142210271782e-06	0.003537062966596536	2.0
2701	2.0837250000000003	1.7069739806279455e-06	0.0024290359998937936	2.0
3375	2.1879112500000004	1.8568539174571966e-06	0.0026152908043848193	2.0
4050	2.2973068125000005	2.010749471292771e-06	0.00013431243869987413	2.0
4777	2.4121721531250007	2.1728897527126097e-06	0.0009498141579575515	2.0
6966	2.5327807607812507	2.3420629258361482e-06	0.003100977579772097	2.0
7954	2.659419798820313	2.5303095900551105e-06	0.0009127324710667874	2.0
9047	2.792390788761329	2.7271412905295233e-06	0.002563517690135151	2.0
9723	2.932010328199395	2.9349018819556353e-06	0.0017464808016282795	2.0
10399	3.078610844609365	3.157490086663001e-06	0.0015052108966147873	2.0
11075	3.2325413868398334	3.3954273548836235e-06	0.0021813301512928884	2.0
11751	3.3941684561818253	3.6450522389194325e-06	0.002382065248358986	2.0
12428	3.5638768789909165	3.90686350818383e-06	0.0009673439000735773	2.0
13104	3.742070722940462	4.175350412413366e-06	0.0006701206480436923	2.0
13780	3.9291742590874854	4.473090874521869e-06	0.0008885633188159258	2.0
14457	4.12563297204186	4.78647610231835e-06	0.0016485241084750442	2.0
15134	4.3319146206439525	5.103988853119219e-06	0.0007814457262743422	2.0
15811	4.54851035167615	5.428519597085463e-06	0.002490895779181241	2.0
16488	4.775935869259957	5.81126893588077e-06	0.001940020187549833	2.0
17217	5.014732662722955	6.17489590799227e-06	0.001015400303730662	2.0
17946	5.265469295859103	6.575785098900782e-06	0.0015217533033246775	2.0
18675	5.528742760652058	6.987778796043598e-06	0.0014156167978146815	2.0
19403	5.805179898684661	7.418567930703745e-06	0.004333101445662654	2.0
20132	6.095438893618894	7.868350476901288e-06	0.000805574858987923	2.0
20861	6.400210838299839	8.344829741921172e-06	0.001439647751593406	2.0
21799	6.720221380214831	8.804467859566204e-06	0.0033011617077270163	2.0
22529	7.056232449225572	9.307194313247437e-06	0.0032765591698360667	2.0
23259	7.409044071686851	9.838225662974282e-06	0.0016121619623034186	2.0
23988	7.779496275271193	1.033226039863065e-05	0.0008705293308017407	2.0
24771	8.168471089034753	1.0898702726922518e-05	0.0012437401513674833	2.0
25554	8.57689464348649	1.1466061429464958e-05	0.001505644294355792	2.0
26338	9.005739375660815	1.205557205613686e-05	0.005197560771901467	2.0
27173	9.456026344443856	1.2657459160423962e-05	0.004172170110301123	2.0
28009	9.928827661666048	1.3242131298754066e-05	0.003175821973068435	2.0
28847	10.425269044749351	1.3844810316942536e-05	0.004212519870311103	2.0
29687	10.94653249698682	1.4493999675522246e-05	0.003016409808259822	2.0
30580	11.49385912183616	1.5131951234475363e-05	0.006329854876231756	2.0
31418	12.068552077927967	1.5816664508944902e-05	0.0021497162677285267	2.0
32364	12.671979681824364	1.6393062929535952e-05	0.0034006341577052924	2.0
33309	13.305578665915583	1.71627639393205e-05	0.004379714416950315	2.0
34309	13.970857599211362	1.7856106808646003e-05	0.002666649985474236	2.0
35308	14.66940047917193	1.846148922125422e-05	0.008509379099322529	2.0
36308	15.402870503130526	1.8977764306174815e-05	0.001368750464178816	2.0
37360	16.173014028287053	1.965347090163785e-05	0.004231111517834889	2.0
38517	16.981664729701407	2.0309295803707038e-05	0.0019337657338228324	2.0
39726	17.83074796618648	2.106491810947428e-05	0.007369360279215041	2.0
40989	18.722285364495804	2.1645423563200315e-05	0.0038188604654725415	2.0
42303	19.658399632720595	2.2334599229267873e-05	0.006718345603278407	2.0
43722	20.641319614356625	2.2911705878133886e-05	0.006639197425620857	2.0
45194	21.673385595074457	2.350648380558479e-05	0.013191659671260418	2.0
46666	22.757054874828178	2.422972936802557e-05	0.0009251534457303454	2.0
48609	23.894907618569587	2.4648635569915448e-05	0.00274834860059379	2.0
51703	25.089652999498067	2.5481971450519405e-05	0.00437577728792738	2.0
54484	26.34413564947297	2.6391678283738866e-05	0.017599510550208333	2.0
56902	27.66134243194662	2.67890088489532e-05	0.010086433836945425	2.0
