时间秒	热浴温度	A侧	B侧	C侧	D侧
4.077643632888794	288.22481296720014	37.594	42.586	62.908	66.491
7.074241876602173	288.21419340888633	37.591	42.587	62.915	66.498
10.079345226287842	288.1823413225403	37.597	42.59	62.908	66.502
13.077271938323975	288.16111208851504	37.579	42.592	62.918	66.505
16.072768211364746	288.1398872463724	37.594	42.594	62.921	66.501
19.079291820526123	288.11866679586745	37.599	42.596	62.923	66.506
22.078017711639404	288.09745073675066	37.597	42.598	62.925	66.511
25.075459480285645	288.09745073675066	37.597	42.598	62.922	66.508
28.078683137893677	288.06563488137124	37.607	42.601	62.933	66.507
31.077211141586304	288.04442979960015	37.608	42.603	62.933	66.515
34.07407021522522	288.02322910830634	37.611	42.605	62.939	66.519
37.07673358917236	287.9914363029147	37.608	42.608	62.937	66.518
40.08171892166138	287.9702465866162	37.609	42.61	62.937	66.534
43.07485818862915	287.9596533745514	37.618	42.611	62.952	66.532
46.078898191452026	287.93847024240875	37.619	42.613	62.941	66.539
49.074748039245605	287.9067037736193	37.619	42.616	62.952	66.535
52.077714920043945	287.87494717925483	37.62	42.619	62.954	66.547
55.07354211807251	287.85378160163475	37.62	42.621	62.97	66.548
58.07472467422485	287.82204146236876	37.636	42.624	62.959	66.548
61.082940101623535	287.80088685384476	37.626	42.626	62.968	66.558
64.07854771614075	287.7691631667413	37.619	42.629	62.966	66.556
67.07787990570068	287.7585907977274	37.628	42.63	62.972	66.557
70.07791757583618	287.72688027016915	37.623	42.633	62.976	66.569
73.07878422737122	287.7057454009506	37.622	42.635	62.982	66.565
76.07562255859375	287.66348881895226	37.632	42.639	62.989	66.574
79.0772225856781	287.65292741412736	37.638	42.64	62.995	66.573
82.08077025413513	287.62124977656487	37.635	42.643	62.997	66.576
85.08256673812866	287.5895820034389	37.633	42.646	62.995	66.585
88.0745918750763	287.5684756343284	37.638	42.648	63.003	66.582
91.07354521751404	287.55792409352694	37.641	42.649	62.999	66.591
94.0836021900177	287.52627604558614	37.646	42.652	63.0	66.599
97.07693576812744	287.505182825206	37.648	42.654	63.01	66.598
100.0825583934784	287.47355121105664	37.647	42.657	63.021	66.606
103.07796359062195	287.4208537613625	37.641	42.662	63.023	66.614
106.07972598075867	287.4208537613625	37.651	42.662	63.02	66.615
109.08250260353088	287.38924843370836	37.653	42.665	63.035	66.622
112.07873010635376	287.37871551454987	37.649	42.666	63.026	66.618
115.07902812957764	287.35765296101727	37.645	42.668	63.035	66.626
118.07198023796082	287.3260673419058	37.663	42.671	63.038	66.635
121.08261227607727	287.3050157360171	37.655	42.673	63.038	66.638
124.08143186569214	287.2629256587861	37.669	42.677	63.04	66.638
127.08089876174927	287.2524058755294	37.669	42.678	63.044	66.646
130.0745804309845	287.21033768509255	37.66	42.682	63.051	66.657
133.07450699806213	287.1893101546575	37.664	42.684	63.054	66.66
136.07368326187134	287.1682870001535	37.659	42.686	63.064	66.663
139.07498121261597	287.1682870001535	37.671	42.686	63.063	66.667
142.07607173919678	287.1262538171393	37.679	42.69	63.073	66.672
145.08216285705566	287.1157482556366	37.675	42.691	63.08	66.671
148.07960319519043	287.0737369449048	37.674	42.695	63.076	66.681
151.0727734565735	287.05273784989146	37.686	42.697	63.079	66.68
